Layer,wav2vec2 + RAVDESS,wav2vec2 + EmoDB,HuBERT + RAVDESS,HuBERT + EmoDB,wav2vec2 + IEMOCAP,HuBERT + IEMOCAP
CNN,0.6979,0.9009,0.7028,0.8879,0.6346,0.6427
Layer 1,0.7819,0.9495,0.7847,0.9383,0.6291,0.648
Layer 2,0.8257,0.9682,0.8174,0.9514,0.6363,0.643
Layer 3,0.8417,0.9626,0.8417,0.9589,0.6222,0.6348
Layer 4,0.8618,0.972,0.8583,0.9776,0.6093,0.6401
Layer 5,0.8639,0.9607,0.866,0.9776,0.6245,0.6333
Layer 6,0.8528,0.9439,0.8611,0.9607,0.6187,0.6275
Layer 7,0.8306,0.9028,0.8639,0.9458,0.6147,0.628
Layer 8,0.7958,0.8636,0.8472,0.9271,0.598,0.6233
Layer 9,0.7819,0.8224,0.8285,0.9065,0.5963,0.6291
Layer 10,0.7542,0.7664,0.834,0.9178,0.5993,0.6322
Layer 11,0.6799,0.7234,0.834,0.9308,0.572,0.639
Layer 12,0.5104,0.6112,0.8118,0.9308,0.5231,0.6419
