Layer,Layer_Num,RMSE,Target,SNR
CNN,0,0.8982,EmoVal,clean
Layer 1,1,0.8951,EmoVal,clean
Layer 2,2,0.8886,EmoVal,clean
Layer 3,3,0.8844,EmoVal,clean
Layer 4,4,0.8844,EmoVal,clean
Layer 5,5,0.8843,EmoVal,clean
Layer 6,6,0.8819,EmoVal,clean
Layer 7,7,0.8836,EmoVal,clean
Layer 8,8,0.883,EmoVal,clean
Layer 9,9,0.8853,EmoVal,clean
Layer 10,10,0.8802,EmoVal,clean
Layer 11,11,0.8757,EmoVal,clean
Layer 12,12,0.8756,EmoVal,clean
Layer 13,13,0.8737,EmoVal,clean
Layer 14,14,0.8731,EmoVal,clean
Layer 15,15,0.8667,EmoVal,clean
Layer 16,16,0.8597,EmoVal,clean
Layer 17,17,0.853,EmoVal,clean
Layer 18,18,0.8477,EmoVal,clean
Layer 19,19,0.8447,EmoVal,clean
Layer 20,20,0.8514,EmoVal,clean
Layer 21,21,0.8492,EmoVal,clean
Layer 22,22,0.8499,EmoVal,clean
Layer 23,23,0.861,EmoVal,clean
Layer 24,24,0.8632,EmoVal,clean
CNN,0,0.7382,EmoAct,clean
Layer 1,1,0.7253,EmoAct,clean
Layer 2,2,0.7173,EmoAct,clean
Layer 3,3,0.7126,EmoAct,clean
Layer 4,4,0.7152,EmoAct,clean
Layer 5,5,0.7136,EmoAct,clean
Layer 6,6,0.7143,EmoAct,clean
Layer 7,7,0.7137,EmoAct,clean
Layer 8,8,0.7163,EmoAct,clean
Layer 9,9,0.7164,EmoAct,clean
Layer 10,10,0.7144,EmoAct,clean
Layer 11,11,0.7156,EmoAct,clean
Layer 12,12,0.718,EmoAct,clean
Layer 13,13,0.718,EmoAct,clean
Layer 14,14,0.7186,EmoAct,clean
Layer 15,15,0.7227,EmoAct,clean
Layer 16,16,0.7217,EmoAct,clean
Layer 17,17,0.7249,EmoAct,clean
Layer 18,18,0.7267,EmoAct,clean
Layer 19,19,0.7297,EmoAct,clean
Layer 20,20,0.7297,EmoAct,clean
Layer 21,21,0.7297,EmoAct,clean
Layer 22,22,0.7299,EmoAct,clean
Layer 23,23,0.7288,EmoAct,clean
Layer 24,24,0.7302,EmoAct,clean
CNN,0,0.698,EmoDom,clean
Layer 1,1,0.6934,EmoDom,clean
Layer 2,2,0.6917,EmoDom,clean
Layer 3,3,0.6899,EmoDom,clean
Layer 4,4,0.6913,EmoDom,clean
Layer 5,5,0.6913,EmoDom,clean
Layer 6,6,0.6933,EmoDom,clean
Layer 7,7,0.6933,EmoDom,clean
Layer 8,8,0.6941,EmoDom,clean
Layer 9,9,0.6959,EmoDom,clean
Layer 10,10,0.6939,EmoDom,clean
Layer 11,11,0.6951,EmoDom,clean
Layer 12,12,0.6944,EmoDom,clean
Layer 13,13,0.695,EmoDom,clean
Layer 14,14,0.6969,EmoDom,clean
Layer 15,15,0.6987,EmoDom,clean
Layer 16,16,0.6981,EmoDom,clean
Layer 17,17,0.6997,EmoDom,clean
Layer 18,18,0.6996,EmoDom,clean
Layer 19,19,0.7033,EmoDom,clean
Layer 20,20,0.7016,EmoDom,clean
Layer 21,21,0.7014,EmoDom,clean
Layer 22,22,0.7004,EmoDom,clean
Layer 23,23,0.6997,EmoDom,clean
Layer 24,24,0.7018,EmoDom,clean
CNN,0,0.9553,EmoVal,0
Layer 1,1,0.9524,EmoVal,0
Layer 2,2,0.9491,EmoVal,0
Layer 3,3,0.9416,EmoVal,0
Layer 4,4,0.9371,EmoVal,0
Layer 5,5,0.9367,EmoVal,0
Layer 6,6,0.9348,EmoVal,0
Layer 7,7,0.9345,EmoVal,0
Layer 8,8,0.9325,EmoVal,0
Layer 9,9,0.9321,EmoVal,0
Layer 10,10,0.9269,EmoVal,0
Layer 11,11,0.9236,EmoVal,0
Layer 12,12,0.9206,EmoVal,0
Layer 13,13,0.9186,EmoVal,0
Layer 14,14,0.9229,EmoVal,0
Layer 15,15,0.922,EmoVal,0
Layer 16,16,0.921,EmoVal,0
Layer 17,17,0.9189,EmoVal,0
Layer 18,18,0.9116,EmoVal,0
Layer 19,19,0.9078,EmoVal,0
Layer 20,20,0.9115,EmoVal,0
Layer 21,21,0.9076,EmoVal,0
Layer 22,22,0.9101,EmoVal,0
Layer 23,23,0.9154,EmoVal,0
Layer 24,24,0.9186,EmoVal,0
CNN,0,0.8033,EmoAct,5
Layer 1,1,0.7879,EmoAct,5
Layer 2,2,0.7686,EmoAct,5
Layer 3,3,0.762,EmoAct,5
Layer 4,4,0.7606,EmoAct,5
Layer 5,5,0.7617,EmoAct,5
Layer 6,6,0.7571,EmoAct,5
Layer 7,7,0.7577,EmoAct,5
Layer 8,8,0.7569,EmoAct,5
Layer 9,9,0.7582,EmoAct,5
Layer 10,10,0.7547,EmoAct,5
Layer 11,11,0.7565,EmoAct,5
Layer 12,12,0.7569,EmoAct,5
Layer 13,13,0.7575,EmoAct,5
Layer 14,14,0.7589,EmoAct,5
Layer 15,15,0.7579,EmoAct,5
Layer 16,16,0.762,EmoAct,5
Layer 17,17,0.7663,EmoAct,5
Layer 18,18,0.7692,EmoAct,5
Layer 19,19,0.7684,EmoAct,5
Layer 20,20,0.7699,EmoAct,5
Layer 21,21,0.77,EmoAct,5
