Layer,Layer_Num,RMSE,Target,SNR
CNN,0,0.9151,EmoVal,clean
Layer 1,1,0.9126,EmoVal,clean
Layer 2,2,0.9055,EmoVal,clean
Layer 3,3,0.9022,EmoVal,clean
Layer 4,4,0.9019,EmoVal,clean
Layer 5,5,0.8975,EmoVal,clean
Layer 6,6,0.8988,EmoVal,clean
Layer 7,7,0.8975,EmoVal,clean
Layer 8,8,0.8954,EmoVal,clean
Layer 9,9,0.8949,EmoVal,clean
Layer 10,10,0.8969,EmoVal,clean
Layer 11,11,0.8981,EmoVal,clean
Layer 12,12,0.8963,EmoVal,clean
Layer 13,13,0.8952,EmoVal,clean
Layer 14,14,0.8974,EmoVal,clean
Layer 15,15,0.8962,EmoVal,clean
Layer 16,16,0.8966,EmoVal,clean
Layer 17,17,0.8971,EmoVal,clean
Layer 18,18,0.8981,EmoVal,clean
Layer 19,19,0.9008,EmoVal,clean
Layer 20,20,0.9004,EmoVal,clean
Layer 21,21,0.9057,EmoVal,clean
Layer 22,22,0.9063,EmoVal,clean
Layer 23,23,0.9059,EmoVal,clean
Layer 24,24,0.9058,EmoVal,clean
CNN,0,0.6984,EmoDom,clean
Layer 1,1,0.7012,EmoDom,clean
Layer 2,2,0.6996,EmoDom,clean
Layer 3,3,0.6936,EmoDom,clean
Layer 4,4,0.6919,EmoDom,clean
Layer 5,5,0.6927,EmoDom,clean
Layer 6,6,0.6928,EmoDom,clean
Layer 7,7,0.6919,EmoDom,clean
Layer 8,8,0.691,EmoDom,clean
Layer 9,9,0.691,EmoDom,clean
Layer 10,10,0.6926,EmoDom,clean
Layer 11,11,0.6937,EmoDom,clean
Layer 12,12,0.6941,EmoDom,clean
Layer 13,13,0.6948,EmoDom,clean
Layer 14,14,0.6948,EmoDom,clean
Layer 15,15,0.6955,EmoDom,clean
Layer 16,16,0.6956,EmoDom,clean
Layer 17,17,0.6956,EmoDom,clean
Layer 18,18,0.6963,EmoDom,clean
Layer 19,19,0.697,EmoDom,clean
Layer 20,20,0.6983,EmoDom,clean
Layer 21,21,0.6979,EmoDom,clean
Layer 22,22,0.6987,EmoDom,clean
Layer 23,23,0.6984,EmoDom,clean
Layer 24,24,0.698,EmoDom,clean
CNN,0,0.7421,EmoAct,clean
Layer 1,1,0.7378,EmoAct,clean
Layer 2,2,0.7318,EmoAct,clean
Layer 3,3,0.7271,EmoAct,clean
Layer 4,4,0.7248,EmoAct,clean
Layer 5,5,0.7255,EmoAct,clean
Layer 6,6,0.7238,EmoAct,clean
Layer 7,7,0.7241,EmoAct,clean
Layer 8,8,0.7242,EmoAct,clean
Layer 9,9,0.7234,EmoAct,clean
Layer 10,10,0.7233,EmoAct,clean
Layer 11,11,0.7254,EmoAct,clean
Layer 12,12,0.7261,EmoAct,clean
Layer 13,13,0.7268,EmoAct,clean
Layer 14,14,0.7271,EmoAct,clean
Layer 15,15,0.7267,EmoAct,clean
Layer 16,16,0.7284,EmoAct,clean
Layer 17,17,0.7292,EmoAct,clean
Layer 18,18,0.7303,EmoAct,clean
Layer 19,19,0.731,EmoAct,clean
Layer 20,20,0.7318,EmoAct,clean
Layer 21,21,0.7337,EmoAct,clean
Layer 22,22,0.7352,EmoAct,clean
Layer 23,23,0.7341,EmoAct,clean
Layer 24,24,0.7341,EmoAct,clean
CNN,0,0.9473,EmoVal,10
Layer 1,1,0.9449,EmoVal,10
Layer 2,2,0.944,EmoVal,10
Layer 3,3,0.9339,EmoVal,10
Layer 4,4,0.9329,EmoVal,10
Layer 5,5,0.9291,EmoVal,10
Layer 6,6,0.9287,EmoVal,10
Layer 7,7,0.9307,EmoVal,10
Layer 8,8,0.9292,EmoVal,10
Layer 9,9,0.9282,EmoVal,10
Layer 10,10,0.9311,EmoVal,10
Layer 11,11,0.9325,EmoVal,10
Layer 12,12,0.9333,EmoVal,10
Layer 13,13,0.9297,EmoVal,10
Layer 14,14,0.931,EmoVal,10
Layer 15,15,0.9302,EmoVal,10
Layer 16,16,0.9319,EmoVal,10
Layer 17,17,0.9321,EmoVal,10
Layer 18,18,0.9347,EmoVal,10
Layer 19,19,0.9362,EmoVal,10
Layer 20,20,0.9352,EmoVal,10
Layer 21,21,0.9361,EmoVal,10
