Layer,Layer_Num,RMSE,Target,SNR
CNN,0,0.8997,EmoVal,clean
Layer 1,1,0.8993,EmoVal,clean
Layer 2,2,0.8902,EmoVal,clean
Layer 3,3,0.8833,EmoVal,clean
Layer 4,4,0.8865,EmoVal,clean
Layer 5,5,0.885,EmoVal,clean
Layer 6,6,0.879,EmoVal,clean
Layer 7,7,0.8805,EmoVal,clean
Layer 8,8,0.8798,EmoVal,clean
Layer 9,9,0.8757,EmoVal,clean
Layer 10,10,0.8728,EmoVal,clean
Layer 11,11,0.8736,EmoVal,clean
Layer 12,12,0.8699,EmoVal,clean
Layer 13,13,0.8732,EmoVal,clean
Layer 14,14,0.8684,EmoVal,clean
Layer 15,15,0.8593,EmoVal,clean
Layer 16,16,0.8482,EmoVal,clean
Layer 17,17,0.8368,EmoVal,clean
Layer 18,18,0.8334,EmoVal,clean
Layer 19,19,0.8274,EmoVal,clean
Layer 20,20,0.8321,EmoVal,clean
Layer 21,21,0.8345,EmoVal,clean
Layer 22,22,0.84,EmoVal,clean
Layer 23,23,0.8529,EmoVal,clean
Layer 24,24,0.8563,EmoVal,clean
CNN,0,0.6974,EmoDom,clean
Layer 1,1,0.693,EmoDom,clean
Layer 2,2,0.6919,EmoDom,clean
Layer 3,3,0.6874,EmoDom,clean
Layer 4,4,0.6896,EmoDom,clean
Layer 5,5,0.6915,EmoDom,clean
Layer 6,6,0.6905,EmoDom,clean
Layer 7,7,0.6932,EmoDom,clean
Layer 8,8,0.6944,EmoDom,clean
Layer 9,9,0.6911,EmoDom,clean
Layer 10,10,0.6921,EmoDom,clean
Layer 11,11,0.6913,EmoDom,clean
Layer 12,12,0.6938,EmoDom,clean
Layer 13,13,0.6947,EmoDom,clean
Layer 14,14,0.6965,EmoDom,clean
Layer 15,15,0.7,EmoDom,clean
Layer 16,16,0.6998,EmoDom,clean
Layer 17,17,0.7002,EmoDom,clean
Layer 18,18,0.701,EmoDom,clean
Layer 19,19,0.7016,EmoDom,clean
Layer 20,20,0.7026,EmoDom,clean
Layer 21,21,0.701,EmoDom,clean
Layer 22,22,0.6991,EmoDom,clean
Layer 23,23,0.7003,EmoDom,clean
Layer 24,24,0.7014,EmoDom,clean
CNN,0,0.7362,EmoAct,clean
Layer 1,1,0.7244,EmoAct,clean
Layer 2,2,0.7184,EmoAct,clean
Layer 3,3,0.7151,EmoAct,clean
Layer 4,4,0.7161,EmoAct,clean
Layer 5,5,0.7163,EmoAct,clean
Layer 6,6,0.7125,EmoAct,clean
Layer 7,7,0.7155,EmoAct,clean
Layer 8,8,0.7152,EmoAct,clean
Layer 9,9,0.7123,EmoAct,clean
Layer 10,10,0.7138,EmoAct,clean
Layer 11,11,0.712,EmoAct,clean
Layer 12,12,0.7154,EmoAct,clean
Layer 13,13,0.7181,EmoAct,clean
Layer 14,14,0.7217,EmoAct,clean
Layer 15,15,0.7246,EmoAct,clean
Layer 16,16,0.7238,EmoAct,clean
Layer 17,17,0.7248,EmoAct,clean
Layer 18,18,0.7258,EmoAct,clean
Layer 19,19,0.7284,EmoAct,clean
Layer 20,20,0.7271,EmoAct,clean
Layer 21,21,0.7241,EmoAct,clean
Layer 22,22,0.7221,EmoAct,clean
Layer 23,23,0.7217,EmoAct,clean
Layer 24,24,0.7234,EmoAct,clean
CNN,0,0.9237,EmoVal,20
Layer 1,1,0.9222,EmoVal,20
Layer 2,2,0.9149,EmoVal,20
Layer 3,3,0.9081,EmoVal,20
Layer 4,4,0.9073,EmoVal,20
Layer 5,5,0.9023,EmoVal,20
Layer 6,6,0.9008,EmoVal,20
Layer 7,7,0.8941,EmoVal,20
Layer 8,8,0.8928,EmoVal,20
Layer 9,9,0.8901,EmoVal,20
Layer 10,10,0.8867,EmoVal,20
Layer 11,11,0.8871,EmoVal,20
Layer 12,12,0.8848,EmoVal,20
Layer 13,13,0.886,EmoVal,20
Layer 14,14,0.8783,EmoVal,20
Layer 15,15,0.8735,EmoVal,20
Layer 16,16,0.8636,EmoVal,20
Layer 17,17,0.8541,EmoVal,20
Layer 18,18,0.8489,EmoVal,20
Layer 19,19,0.8432,EmoVal,20
Layer 20,20,0.846,EmoVal,20
Layer 21,21,0.848,EmoVal,20
Layer 22,22,0.8547,EmoVal,20
Layer 23,23,0.8676,EmoVal,20
Layer 24,24,0.8736,EmoVal,20
CNN,0,0.7395,EmoDom,5
Layer 1,1,0.7336,EmoDom,5
Layer 2,2,0.7237,EmoDom,5
Layer 3,3,0.7208,EmoDom,5
Layer 4,4,0.7215,EmoDom,5
Layer 5,5,0.7227,EmoDom,5
Layer 6,6,0.7176,EmoDom,5
Layer 7,7,0.7169,EmoDom,5
Layer 8,8,0.7157,EmoDom,5
Layer 9,9,0.7147,EmoDom,5
Layer 10,10,0.7167,EmoDom,5
Layer 11,11,0.7166,EmoDom,5
Layer 12,12,0.7188,EmoDom,5
Layer 13,13,0.721,EmoDom,5
Layer 14,14,0.7231,EmoDom,5
Layer 15,15,0.7261,EmoDom,5
Layer 16,16,0.7287,EmoDom,5
Layer 17,17,0.7281,EmoDom,5
Layer 18,18,0.7277,EmoDom,5
Layer 19,19,0.7294,EmoDom,5
Layer 20,20,0.7308,EmoDom,5
Layer 21,21,0.73,EmoDom,5
Layer 22,22,0.7303,EmoDom,5
Layer 23,23,0.7355,EmoDom,5
Layer 24,24,0.7389,EmoDom,5
CNN,0,0.7309,EmoDom,10
Layer 1,1,0.7236,EmoDom,10
Layer 2,2,0.7163,EmoDom,10
Layer 3,3,0.713,EmoDom,10
Layer 4,4,0.7139,EmoDom,10
Layer 5,5,0.7143,EmoDom,10
Layer 6,6,0.711,EmoDom,10
Layer 7,7,0.7092,EmoDom,10
Layer 8,8,0.7081,EmoDom,10
Layer 9,9,0.7078,EmoDom,10
Layer 10,10,0.7085,EmoDom,10
Layer 11,11,0.7091,EmoDom,10
Layer 12,12,0.7104,EmoDom,10
Layer 13,13,0.7121,EmoDom,10
Layer 14,14,0.7149,EmoDom,10
Layer 15,15,0.7179,EmoDom,10
Layer 16,16,0.7186,EmoDom,10
Layer 17,17,0.7193,EmoDom,10
Layer 18,18,0.7201,EmoDom,10
Layer 19,19,0.7212,EmoDom,10
Layer 20,20,0.7227,EmoDom,10
Layer 21,21,0.7217,EmoDom,10
Layer 22,22,0.7209,EmoDom,10
Layer 23,23,0.7245,EmoDom,10
Layer 24,24,0.7278,EmoDom,10
CNN,0,0.9534,EmoVal,0
Layer 1,1,0.9546,EmoVal,0
Layer 2,2,0.9473,EmoVal,0
Layer 3,3,0.9419,EmoVal,0
Layer 4,4,0.9449,EmoVal,0
Layer 5,5,0.938,EmoVal,0
Layer 6,6,0.9385,EmoVal,0
Layer 7,7,0.9338,EmoVal,0
Layer 8,8,0.9325,EmoVal,0
Layer 9,9,0.9279,EmoVal,0
Layer 10,10,0.9261,EmoVal,0
Layer 11,11,0.9256,EmoVal,0
Layer 12,12,0.9222,EmoVal,0
Layer 13,13,0.9213,EmoVal,0
Layer 14,14,0.9203,EmoVal,0
Layer 15,15,0.9157,EmoVal,0
Layer 16,16,0.9123,EmoVal,0
Layer 17,17,0.9027,EmoVal,0
Layer 18,18,0.8981,EmoVal,0
Layer 19,19,0.8955,EmoVal,0
Layer 20,20,0.8954,EmoVal,0
Layer 21,21,0.8979,EmoVal,0
Layer 22,22,0.903,EmoVal,0
Layer 23,23,0.9149,EmoVal,0
Layer 24,24,0.9208,EmoVal,0
CNN,0,0.8003,EmoAct,5
Layer 1,1,0.7801,EmoAct,5
Layer 2,2,0.7699,EmoAct,5
Layer 3,3,0.7619,EmoAct,5
Layer 4,4,0.7623,EmoAct,5
Layer 5,5,0.7591,EmoAct,5
Layer 6,6,0.7565,EmoAct,5
Layer 7,7,0.7531,EmoAct,5
Layer 8,8,0.7487,EmoAct,5
Layer 9,9,0.7475,EmoAct,5
Layer 10,10,0.7517,EmoAct,5
Layer 11,11,0.7501,EmoAct,5
Layer 12,12,0.7514,EmoAct,5
Layer 13,13,0.7543,EmoAct,5
Layer 14,14,0.7574,EmoAct,5
Layer 15,15,0.7628,EmoAct,5
Layer 16,16,0.7678,EmoAct,5
Layer 17,17,0.7677,EmoAct,5
Layer 18,18,0.7677,EmoAct,5
Layer 19,19,0.7714,EmoAct,5
Layer 20,20,0.7708,EmoAct,5
Layer 21,21,0.7678,EmoAct,5
Layer 22,22,0.772,EmoAct,5
Layer 23,23,0.7768,EmoAct,5
Layer 24,24,0.7803,EmoAct,5
CNN,0,0.7839,EmoAct,10
Layer 1,1,0.7641,EmoAct,10
Layer 2,2,0.7563,EmoAct,10
Layer 3,3,0.7497,EmoAct,10
Layer 4,4,0.7495,EmoAct,10
Layer 5,5,0.7477,EmoAct,10
Layer 6,6,0.7442,EmoAct,10
Layer 7,7,0.7399,EmoAct,10
Layer 8,8,0.7364,EmoAct,10
Layer 9,9,0.7365,EmoAct,10
Layer 10,10,0.7379,EmoAct,10
Layer 11,11,0.7379,EmoAct,10
Layer 12,12,0.7385,EmoAct,10
Layer 13,13,0.7427,EmoAct,10
Layer 14,14,0.7455,EmoAct,10
Layer 15,15,0.7499,EmoAct,10
Layer 16,16,0.7531,EmoAct,10
Layer 17,17,0.7536,EmoAct,10
Layer 18,18,0.7534,EmoAct,10
Layer 19,19,0.7573,EmoAct,10
Layer 20,20,0.7573,EmoAct,10
Layer 21,21,0.7544,EmoAct,10
Layer 22,22,0.7567,EmoAct,10
Layer 23,23,0.7608,EmoAct,10
Layer 24,24,0.7635,EmoAct,10
CNN,0,0.8235,EmoAct,0
Layer 1,1,0.8016,EmoAct,0
Layer 2,2,0.7906,EmoAct,0
Layer 3,3,0.7783,EmoAct,0
Layer 4,4,0.7792,EmoAct,0
Layer 5,5,0.7769,EmoAct,0
Layer 6,6,0.7761,EmoAct,0
Layer 7,7,0.7719,EmoAct,0
Layer 8,8,0.7705,EmoAct,0
Layer 9,9,0.769,EmoAct,0
Layer 10,10,0.7727,EmoAct,0
Layer 11,11,0.7704,EmoAct,0
Layer 12,12,0.7729,EmoAct,0
Layer 13,13,0.7753,EmoAct,0
Layer 14,14,0.7783,EmoAct,0
Layer 15,15,0.7836,EmoAct,0
Layer 16,16,0.789,EmoAct,0
Layer 17,17,0.7865,EmoAct,0
Layer 18,18,0.7878,EmoAct,0
Layer 19,19,0.7927,EmoAct,0
Layer 20,20,0.793,EmoAct,0
Layer 21,21,0.7932,EmoAct,0
Layer 22,22,0.7961,EmoAct,0
Layer 23,23,0.7997,EmoAct,0
Layer 24,24,0.8017,EmoAct,0
CNN,0,0.9449,EmoVal,5
Layer 1,1,0.9445,EmoVal,5
Layer 2,2,0.9386,EmoVal,5
Layer 3,3,0.9312,EmoVal,5
Layer 4,4,0.9321,EmoVal,5
Layer 5,5,0.9262,EmoVal,5
Layer 6,6,0.9256,EmoVal,5
Layer 7,7,0.9209,EmoVal,5
Layer 8,8,0.9176,EmoVal,5
Layer 9,9,0.9124,EmoVal,5
Layer 10,10,0.9086,EmoVal,5
Layer 11,11,0.9084,EmoVal,5
Layer 12,12,0.9052,EmoVal,5
Layer 13,13,0.9048,EmoVal,5
Layer 14,14,0.9034,EmoVal,5
Layer 15,15,0.8988,EmoVal,5
Layer 16,16,0.8932,EmoVal,5
Layer 17,17,0.8805,EmoVal,5
Layer 18,18,0.8749,EmoVal,5
Layer 19,19,0.8714,EmoVal,5
Layer 20,20,0.872,EmoVal,5
Layer 21,21,0.8744,EmoVal,5
Layer 22,22,0.881,EmoVal,5
Layer 23,23,0.8957,EmoVal,5
Layer 24,24,0.9042,EmoVal,5
CNN,0,0.7178,EmoDom,20
Layer 1,1,0.7094,EmoDom,20
Layer 2,2,0.7067,EmoDom,20
Layer 3,3,0.7018,EmoDom,20
Layer 4,4,0.7039,EmoDom,20
Layer 5,5,0.7031,EmoDom,20
Layer 6,6,0.7026,EmoDom,20
Layer 7,7,0.701,EmoDom,20
Layer 8,8,0.6992,EmoDom,20
Layer 9,9,0.6982,EmoDom,20
Layer 10,10,0.7001,EmoDom,20
Layer 11,11,0.6995,EmoDom,20
Layer 12,12,0.7,EmoDom,20
Layer 13,13,0.7017,EmoDom,20
Layer 14,14,0.7051,EmoDom,20
Layer 15,15,0.7084,EmoDom,20
Layer 16,16,0.7091,EmoDom,20
Layer 17,17,0.7106,EmoDom,20
Layer 18,18,0.712,EmoDom,20
Layer 19,19,0.7099,EmoDom,20
Layer 20,20,0.7108,EmoDom,20
Layer 21,21,0.7119,EmoDom,20
Layer 22,22,0.7106,EmoDom,20
Layer 23,23,0.7125,EmoDom,20
Layer 24,24,0.713,EmoDom,20
CNN,0,0.937,EmoVal,10
Layer 1,1,0.936,EmoVal,10
Layer 2,2,0.9303,EmoVal,10
Layer 3,3,0.9215,EmoVal,10
Layer 4,4,0.9212,EmoVal,10
Layer 5,5,0.9172,EmoVal,10
Layer 6,6,0.9143,EmoVal,10
Layer 7,7,0.9068,EmoVal,10
Layer 8,8,0.9045,EmoVal,10
Layer 9,9,0.9007,EmoVal,10
Layer 10,10,0.8975,EmoVal,10
Layer 11,11,0.8978,EmoVal,10
Layer 12,12,0.8951,EmoVal,10
Layer 13,13,0.8944,EmoVal,10
Layer 14,14,0.8907,EmoVal,10
Layer 15,15,0.885,EmoVal,10
Layer 16,16,0.8789,EmoVal,10
Layer 17,17,0.8682,EmoVal,10
Layer 18,18,0.8604,EmoVal,10
Layer 19,19,0.8567,EmoVal,10
Layer 20,20,0.8588,EmoVal,10
Layer 21,21,0.8585,EmoVal,10
Layer 22,22,0.8697,EmoVal,10
Layer 23,23,0.883,EmoVal,10
Layer 24,24,0.8906,EmoVal,10
CNN,0,0.7526,EmoDom,0
Layer 1,1,0.7466,EmoDom,0
Layer 2,2,0.7351,EmoDom,0
Layer 3,3,0.7312,EmoDom,0
Layer 4,4,0.7319,EmoDom,0
Layer 5,5,0.7324,EmoDom,0
Layer 6,6,0.7289,EmoDom,0
Layer 7,7,0.7274,EmoDom,0
Layer 8,8,0.7273,EmoDom,0
Layer 9,9,0.7255,EmoDom,0
Layer 10,10,0.7269,EmoDom,0
Layer 11,11,0.727,EmoDom,0
Layer 12,12,0.7306,EmoDom,0
Layer 13,13,0.7324,EmoDom,0
Layer 14,14,0.7346,EmoDom,0
Layer 15,15,0.7368,EmoDom,0
Layer 16,16,0.7423,EmoDom,0
Layer 17,17,0.7403,EmoDom,0
Layer 18,18,0.7401,EmoDom,0
Layer 19,19,0.7419,EmoDom,0
Layer 20,20,0.7438,EmoDom,0
Layer 21,21,0.7434,EmoDom,0
Layer 22,22,0.7434,EmoDom,0
Layer 23,23,0.7484,EmoDom,0
Layer 24,24,0.7494,EmoDom,0
CNN,0,0.7636,EmoAct,20
Layer 1,1,0.7452,EmoAct,20
Layer 2,2,0.7406,EmoAct,20
Layer 3,3,0.7344,EmoAct,20
Layer 4,4,0.7348,EmoAct,20
Layer 5,5,0.7321,EmoAct,20
Layer 6,6,0.7293,EmoAct,20
Layer 7,7,0.7267,EmoAct,20
Layer 8,8,0.7259,EmoAct,20
Layer 9,9,0.7242,EmoAct,20
Layer 10,10,0.7252,EmoAct,20
Layer 11,11,0.7239,EmoAct,20
Layer 12,12,0.7273,EmoAct,20
Layer 13,13,0.7306,EmoAct,20
Layer 14,14,0.7338,EmoAct,20
Layer 15,15,0.7372,EmoAct,20
Layer 16,16,0.7381,EmoAct,20
Layer 17,17,0.7389,EmoAct,20
Layer 18,18,0.739,EmoAct,20
Layer 19,19,0.74,EmoAct,20
Layer 20,20,0.7399,EmoAct,20
Layer 21,21,0.7402,EmoAct,20
Layer 22,22,0.7394,EmoAct,20
Layer 23,23,0.7435,EmoAct,20
Layer 24,24,0.7432,EmoAct,20
