Layer,Layer_Num,RMSE,Target,SNR
CNN,0,0.7416,EmoAct,clean
Layer 1,1,0.7238,EmoAct,clean
Layer 2,2,0.7208,EmoAct,clean
Layer 3,3,0.7174,EmoAct,clean
Layer 4,4,0.7159,EmoAct,clean
Layer 5,5,0.7123,EmoAct,clean
Layer 6,6,0.7109,EmoAct,clean
Layer 7,7,0.7113,EmoAct,clean
Layer 8,8,0.7118,EmoAct,clean
Layer 9,9,0.7117,EmoAct,clean
Layer 10,10,0.7101,EmoAct,clean
Layer 11,11,0.7089,EmoAct,clean
Layer 12,12,0.7069,EmoAct,clean
Layer 13,13,0.7065,EmoAct,clean
Layer 14,14,0.7077,EmoAct,clean
Layer 15,15,0.7084,EmoAct,clean
Layer 16,16,0.7088,EmoAct,clean
Layer 17,17,0.7088,EmoAct,clean
Layer 18,18,0.7103,EmoAct,clean
Layer 19,19,0.7104,EmoAct,clean
Layer 20,20,0.7102,EmoAct,clean
Layer 21,21,0.71,EmoAct,clean
Layer 22,22,0.7109,EmoAct,clean
Layer 23,23,0.7122,EmoAct,clean
Layer 24,24,0.7111,EmoAct,clean
CNN,0,0.6991,EmoDom,clean
Layer 1,1,0.6912,EmoDom,clean
Layer 2,2,0.6888,EmoDom,clean
Layer 3,3,0.6884,EmoDom,clean
Layer 4,4,0.6868,EmoDom,clean
Layer 5,5,0.6835,EmoDom,clean
Layer 6,6,0.6838,EmoDom,clean
Layer 7,7,0.6834,EmoDom,clean
Layer 8,8,0.6845,EmoDom,clean
Layer 9,9,0.6831,EmoDom,clean
Layer 10,10,0.6854,EmoDom,clean
Layer 11,11,0.6832,EmoDom,clean
Layer 12,12,0.6822,EmoDom,clean
Layer 13,13,0.6826,EmoDom,clean
Layer 14,14,0.6835,EmoDom,clean
Layer 15,15,0.6839,EmoDom,clean
Layer 16,16,0.6844,EmoDom,clean
Layer 17,17,0.685,EmoDom,clean
Layer 18,18,0.6855,EmoDom,clean
Layer 19,19,0.6851,EmoDom,clean
Layer 20,20,0.6844,EmoDom,clean
Layer 21,21,0.6835,EmoDom,clean
Layer 22,22,0.6829,EmoDom,clean
Layer 23,23,0.6839,EmoDom,clean
Layer 24,24,0.6841,EmoDom,clean
CNN,0,0.8958,EmoVal,clean
Layer 1,1,0.8936,EmoVal,clean
Layer 2,2,0.8894,EmoVal,clean
Layer 3,3,0.888,EmoVal,clean
Layer 4,4,0.8872,EmoVal,clean
Layer 5,5,0.8784,EmoVal,clean
Layer 6,6,0.8743,EmoVal,clean
Layer 7,7,0.8725,EmoVal,clean
Layer 8,8,0.8762,EmoVal,clean
Layer 9,9,0.8746,EmoVal,clean
Layer 10,10,0.8714,EmoVal,clean
Layer 11,11,0.8697,EmoVal,clean
Layer 12,12,0.8658,EmoVal,clean
Layer 13,13,0.8654,EmoVal,clean
Layer 14,14,0.8683,EmoVal,clean
Layer 15,15,0.8656,EmoVal,clean
Layer 16,16,0.8618,EmoVal,clean
Layer 17,17,0.8554,EmoVal,clean
Layer 18,18,0.8512,EmoVal,clean
Layer 19,19,0.8499,EmoVal,clean
Layer 20,20,0.8401,EmoVal,clean
Layer 21,21,0.829,EmoVal,clean
Layer 22,22,0.8214,EmoVal,clean
Layer 23,23,0.8129,EmoVal,clean
Layer 24,24,0.8076,EmoVal,clean
CNN,0,0.9449,EmoVal,5
Layer 1,1,0.9432,EmoVal,5
Layer 2,2,0.9363,EmoVal,5
Layer 3,3,0.9304,EmoVal,5
