Layer,Layer_Num,RMSE,Target,SNR
CNN,0,0.9106,EmoAct,clean
Layer 1,1,0.7697,EmoAct,clean
Layer 2,2,0.7433,EmoAct,clean
Layer 3,3,0.7289,EmoAct,clean
Layer 4,4,0.7248,EmoAct,clean
Layer 5,5,0.727,EmoAct,clean
Layer 6,6,0.7293,EmoAct,clean
Layer 7,7,0.7264,EmoAct,clean
Layer 8,8,0.7311,EmoAct,clean
Layer 9,9,0.7241,EmoAct,clean
Layer 10,10,0.7231,EmoAct,clean
Layer 11,11,0.7275,EmoAct,clean
Layer 12,12,0.7338,EmoAct,clean
Layer 13,13,0.7339,EmoAct,clean
Layer 14,14,0.7263,EmoAct,clean
Layer 15,15,0.7248,EmoAct,clean
Layer 16,16,0.7233,EmoAct,clean
Layer 17,17,0.7212,EmoAct,clean
Layer 18,18,0.724,EmoAct,clean
Layer 19,19,0.7284,EmoAct,clean
Layer 20,20,0.7269,EmoAct,clean
Layer 21,21,0.7333,EmoAct,clean
Layer 22,22,0.7388,EmoAct,clean
Layer 23,23,0.7464,EmoAct,clean
Layer 24,24,0.7595,EmoAct,clean
CNN,0,0.7949,EmoDom,clean
Layer 1,1,0.7264,EmoDom,clean
Layer 2,2,0.7106,EmoDom,clean
Layer 3,3,0.7016,EmoDom,clean
Layer 4,4,0.6985,EmoDom,clean
Layer 5,5,0.7008,EmoDom,clean
Layer 6,6,0.6998,EmoDom,clean
Layer 7,7,0.6984,EmoDom,clean
Layer 8,8,0.7018,EmoDom,clean
Layer 9,9,0.6979,EmoDom,clean
Layer 10,10,0.699,EmoDom,clean
Layer 11,11,0.7042,EmoDom,clean
Layer 12,12,0.7075,EmoDom,clean
Layer 13,13,0.7096,EmoDom,clean
Layer 14,14,0.7041,EmoDom,clean
Layer 15,15,0.7009,EmoDom,clean
Layer 16,16,0.7009,EmoDom,clean
Layer 17,17,0.6948,EmoDom,clean
Layer 18,18,0.6972,EmoDom,clean
Layer 19,19,0.7001,EmoDom,clean
Layer 20,20,0.698,EmoDom,clean
Layer 21,21,0.7024,EmoDom,clean
Layer 22,22,0.7051,EmoDom,clean
Layer 23,23,0.7124,EmoDom,clean
Layer 24,24,0.7192,EmoDom,clean
CNN,0,0.9583,EmoVal,clean
Layer 1,1,0.9291,EmoVal,clean
Layer 2,2,0.9068,EmoVal,clean
