Layer,Layer_Num,RMSE,Target,SNR
CNN,0,0.7047,EmoDom,clean
Layer 1,1,0.7027,EmoDom,clean
Layer 2,2,0.6998,EmoDom,clean
Layer 3,3,0.6974,EmoDom,clean
Layer 4,4,0.6944,EmoDom,clean
Layer 5,5,0.6942,EmoDom,clean
Layer 6,6,0.6955,EmoDom,clean
Layer 7,7,0.6961,EmoDom,clean
Layer 8,8,0.6978,EmoDom,clean
Layer 9,9,0.6986,EmoDom,clean
Layer 10,10,0.7019,EmoDom,clean
Layer 11,11,0.7081,EmoDom,clean
Layer 12,12,0.7113,EmoDom,clean
Layer 13,13,0.7123,EmoDom,clean
Layer 14,14,0.7134,EmoDom,clean
Layer 15,15,0.7163,EmoDom,clean
Layer 16,16,0.7151,EmoDom,clean
Layer 17,17,0.7128,EmoDom,clean
Layer 18,18,0.712,EmoDom,clean
Layer 19,19,0.7163,EmoDom,clean
Layer 20,20,0.7252,EmoDom,clean
Layer 21,21,0.7381,EmoDom,clean
Layer 22,22,0.7462,EmoDom,clean
Layer 23,23,0.7745,EmoDom,clean
Layer 24,24,0.8063,EmoDom,clean
CNN,0,0.7459,EmoAct,clean
Layer 1,1,0.7369,EmoAct,clean
Layer 2,2,0.7315,EmoAct,clean
Layer 3,3,0.7267,EmoAct,clean
Layer 4,4,0.7225,EmoAct,clean
Layer 5,5,0.7196,EmoAct,clean
Layer 6,6,0.7243,EmoAct,clean
Layer 7,7,0.7234,EmoAct,clean
Layer 8,8,0.724,EmoAct,clean
Layer 9,9,0.7283,EmoAct,clean
Layer 10,10,0.7339,EmoAct,clean
Layer 11,11,0.738,EmoAct,clean
Layer 12,12,0.7467,EmoAct,clean
Layer 13,13,0.7522,EmoAct,clean
Layer 14,14,0.7548,EmoAct,clean
Layer 15,15,0.7582,EmoAct,clean
Layer 16,16,0.7521,EmoAct,clean
Layer 17,17,0.75,EmoAct,clean
Layer 18,18,0.7469,EmoAct,clean
Layer 19,19,0.7545,EmoAct,clean
Layer 20,20,0.7681,EmoAct,clean
Layer 21,21,0.7929,EmoAct,clean
Layer 22,22,0.8109,EmoAct,clean
Layer 23,23,0.8544,EmoAct,clean
Layer 24,24,0.8993,EmoAct,clean
CNN,0,0.9083,EmoVal,clean
Layer 1,1,0.9011,EmoVal,clean
Layer 2,2,0.8961,EmoVal,clean
Layer 3,3,0.8941,EmoVal,clean
Layer 4,4,0.8868,EmoVal,clean
Layer 5,5,0.8864,EmoVal,clean
Layer 6,6,0.8907,EmoVal,clean
Layer 7,7,0.8846,EmoVal,clean
Layer 8,8,0.8846,EmoVal,clean
Layer 9,9,0.8843,EmoVal,clean
Layer 10,10,0.8812,EmoVal,clean
Layer 11,11,0.8759,EmoVal,clean
Layer 12,12,0.876,EmoVal,clean
Layer 13,13,0.8789,EmoVal,clean
Layer 14,14,0.8827,EmoVal,clean
Layer 15,15,0.8844,EmoVal,clean
Layer 16,16,0.8854,EmoVal,clean
Layer 17,17,0.8837,EmoVal,clean
Layer 18,18,0.8861,EmoVal,clean
Layer 19,19,0.8869,EmoVal,clean
Layer 20,20,0.8951,EmoVal,clean
Layer 21,21,0.9084,EmoVal,clean
Layer 22,22,0.9163,EmoVal,clean
Layer 23,23,0.9341,EmoVal,clean
Layer 24,24,0.9596,EmoVal,clean
CNN,0,0.9313,EmoVal,20
Layer 1,1,0.9264,EmoVal,20
Layer 2,2,0.9203,EmoVal,20
Layer 3,3,0.9135,EmoVal,20
Layer 4,4,0.9093,EmoVal,20
Layer 5,5,0.9032,EmoVal,20
Layer 6,6,0.9069,EmoVal,20
Layer 7,7,0.9004,EmoVal,20
Layer 8,8,0.9035,EmoVal,20
Layer 9,9,0.8966,EmoVal,20
Layer 10,10,0.8951,EmoVal,20
Layer 11,11,0.8931,EmoVal,20
Layer 12,12,0.8918,EmoVal,20
Layer 13,13,0.8915,EmoVal,20
Layer 14,14,0.8949,EmoVal,20
Layer 15,15,0.895,EmoVal,20
Layer 16,16,0.8965,EmoVal,20
Layer 17,17,0.9009,EmoVal,20
Layer 18,18,0.9001,EmoVal,20
Layer 19,19,0.9068,EmoVal,20
Layer 20,20,0.9121,EmoVal,20
Layer 21,21,0.9228,EmoVal,20
Layer 22,22,0.9281,EmoVal,20
Layer 23,23,0.9478,EmoVal,20
Layer 24,24,0.9723,EmoVal,20
CNN,0,0.733,EmoDom,10
Layer 1,1,0.7293,EmoDom,10
Layer 2,2,0.7232,EmoDom,10
Layer 3,3,0.723,EmoDom,10
Layer 4,4,0.7224,EmoDom,10
Layer 5,5,0.7205,EmoDom,10
Layer 6,6,0.7192,EmoDom,10
Layer 7,7,0.7187,EmoDom,10
Layer 8,8,0.7226,EmoDom,10
Layer 9,9,0.7268,EmoDom,10
Layer 10,10,0.7283,EmoDom,10
Layer 11,11,0.7318,EmoDom,10
Layer 12,12,0.7384,EmoDom,10
Layer 13,13,0.7391,EmoDom,10
Layer 14,14,0.7375,EmoDom,10
Layer 15,15,0.7394,EmoDom,10
Layer 16,16,0.7399,EmoDom,10
Layer 17,17,0.7394,EmoDom,10
Layer 18,18,0.7399,EmoDom,10
Layer 19,19,0.7431,EmoDom,10
Layer 20,20,0.7526,EmoDom,10
Layer 21,21,0.7638,EmoDom,10
Layer 22,22,0.7782,EmoDom,10
Layer 23,23,0.7979,EmoDom,10
Layer 24,24,0.8116,EmoDom,10
CNN,0,0.787,EmoAct,10
Layer 1,1,0.7783,EmoAct,10
Layer 2,2,0.7685,EmoAct,10
Layer 3,3,0.7653,EmoAct,10
Layer 4,4,0.7629,EmoAct,10
Layer 5,5,0.7578,EmoAct,10
Layer 6,6,0.7592,EmoAct,10
Layer 7,7,0.7602,EmoAct,10
Layer 8,8,0.7626,EmoAct,10
Layer 9,9,0.7664,EmoAct,10
Layer 10,10,0.77,EmoAct,10
Layer 11,11,0.7746,EmoAct,10
Layer 12,12,0.7824,EmoAct,10
Layer 13,13,0.7876,EmoAct,10
Layer 14,14,0.7878,EmoAct,10
Layer 15,15,0.7945,EmoAct,10
Layer 16,16,0.7875,EmoAct,10
Layer 17,17,0.7874,EmoAct,10
Layer 18,18,0.7886,EmoAct,10
Layer 19,19,0.7964,EmoAct,10
Layer 20,20,0.81,EmoAct,10
Layer 21,21,0.8326,EmoAct,10
Layer 22,22,0.8523,EmoAct,10
Layer 23,23,0.8925,EmoAct,10
Layer 24,24,0.9163,EmoAct,10
CNN,0,0.7599,EmoDom,0
Layer 1,1,0.7524,EmoDom,0
Layer 2,2,0.7463,EmoDom,0
Layer 3,3,0.7424,EmoDom,0
Layer 4,4,0.7428,EmoDom,0
Layer 5,5,0.7397,EmoDom,0
Layer 6,6,0.7407,EmoDom,0
Layer 7,7,0.7386,EmoDom,0
Layer 8,8,0.7391,EmoDom,0
Layer 9,9,0.744,EmoDom,0
Layer 10,10,0.7498,EmoDom,0
Layer 11,11,0.75,EmoDom,0
Layer 12,12,0.7554,EmoDom,0
Layer 13,13,0.7605,EmoDom,0
Layer 14,14,0.7567,EmoDom,0
Layer 15,15,0.7585,EmoDom,0
Layer 16,16,0.7576,EmoDom,0
Layer 17,17,0.7619,EmoDom,0
Layer 18,18,0.7654,EmoDom,0
Layer 19,19,0.7688,EmoDom,0
Layer 20,20,0.7738,EmoDom,0
Layer 21,21,0.783,EmoDom,0
Layer 22,22,0.7917,EmoDom,0
Layer 23,23,0.805,EmoDom,0
Layer 24,24,0.8171,EmoDom,0
CNN,0,0.8314,EmoAct,0
Layer 1,1,0.816,EmoAct,0
Layer 2,2,0.8064,EmoAct,0
Layer 3,3,0.8027,EmoAct,0
Layer 4,4,0.7982,EmoAct,0
Layer 5,5,0.7943,EmoAct,0
Layer 6,6,0.7938,EmoAct,0
Layer 7,7,0.7927,EmoAct,0
Layer 8,8,0.7921,EmoAct,0
Layer 9,9,0.7987,EmoAct,0
Layer 10,10,0.8056,EmoAct,0
Layer 11,11,0.8069,EmoAct,0
Layer 12,12,0.821,EmoAct,0
Layer 13,13,0.8209,EmoAct,0
Layer 14,14,0.8238,EmoAct,0
Layer 15,15,0.8296,EmoAct,0
Layer 16,16,0.8254,EmoAct,0
Layer 17,17,0.8254,EmoAct,0
Layer 18,18,0.831,EmoAct,0
Layer 19,19,0.8389,EmoAct,0
Layer 20,20,0.8445,EmoAct,0
Layer 21,21,0.8653,EmoAct,0
Layer 22,22,0.8825,EmoAct,0
Layer 23,23,0.9081,EmoAct,0
Layer 24,24,0.9293,EmoAct,0
CNN,0,0.9534,EmoVal,5
Layer 1,1,0.9507,EmoVal,5
Layer 2,2,0.9492,EmoVal,5
Layer 3,3,0.942,EmoVal,5
Layer 4,4,0.9388,EmoVal,5
Layer 5,5,0.9353,EmoVal,5
Layer 6,6,0.9334,EmoVal,5
Layer 7,7,0.9319,EmoVal,5
Layer 8,8,0.9308,EmoVal,5
Layer 9,9,0.9258,EmoVal,5
Layer 10,10,0.9267,EmoVal,5
Layer 11,11,0.923,EmoVal,5
Layer 12,12,0.9221,EmoVal,5
Layer 13,13,0.9214,EmoVal,5
Layer 14,14,0.9236,EmoVal,5
Layer 15,15,0.922,EmoVal,5
Layer 16,16,0.926,EmoVal,5
Layer 17,17,0.928,EmoVal,5
Layer 18,18,0.9347,EmoVal,5
Layer 19,19,0.9366,EmoVal,5
Layer 20,20,0.9383,EmoVal,5
Layer 21,21,0.9426,EmoVal,5
Layer 22,22,0.9549,EmoVal,5
Layer 23,23,0.9684,EmoVal,5
Layer 24,24,0.975,EmoVal,5
CNN,0,0.7189,EmoDom,20
Layer 1,1,0.7189,EmoDom,20
Layer 2,2,0.7138,EmoDom,20
Layer 3,3,0.7112,EmoDom,20
Layer 4,4,0.7097,EmoDom,20
Layer 5,5,0.71,EmoDom,20
Layer 6,6,0.7096,EmoDom,20
Layer 7,7,0.7085,EmoDom,20
Layer 8,8,0.712,EmoDom,20
Layer 9,9,0.7144,EmoDom,20
Layer 10,10,0.7157,EmoDom,20
Layer 11,11,0.7191,EmoDom,20
Layer 12,12,0.7264,EmoDom,20
Layer 13,13,0.7276,EmoDom,20
Layer 14,14,0.7254,EmoDom,20
Layer 15,15,0.7269,EmoDom,20
Layer 16,16,0.7273,EmoDom,20
Layer 17,17,0.7282,EmoDom,20
Layer 18,18,0.728,EmoDom,20
Layer 19,19,0.7319,EmoDom,20
Layer 20,20,0.7403,EmoDom,20
Layer 21,21,0.7529,EmoDom,20
Layer 22,22,0.7659,EmoDom,20
Layer 23,23,0.7938,EmoDom,20
Layer 24,24,0.812,EmoDom,20
CNN,0,0.9459,EmoVal,10
Layer 1,1,0.9414,EmoVal,10
Layer 2,2,0.9369,EmoVal,10
Layer 3,3,0.9308,EmoVal,10
Layer 4,4,0.9297,EmoVal,10
Layer 5,5,0.925,EmoVal,10
Layer 6,6,0.9219,EmoVal,10
Layer 7,7,0.921,EmoVal,10
Layer 8,8,0.9197,EmoVal,10
Layer 9,9,0.9147,EmoVal,10
Layer 10,10,0.9117,EmoVal,10
Layer 11,11,0.9102,EmoVal,10
Layer 12,12,0.9086,EmoVal,10
Layer 13,13,0.9096,EmoVal,10
Layer 14,14,0.9106,EmoVal,10
Layer 15,15,0.909,EmoVal,10
Layer 16,16,0.9119,EmoVal,10
Layer 17,17,0.9151,EmoVal,10
Layer 18,18,0.918,EmoVal,10
Layer 19,19,0.9223,EmoVal,10
Layer 20,20,0.9292,EmoVal,10
Layer 21,21,0.9349,EmoVal,10
Layer 22,22,0.9446,EmoVal,10
Layer 23,23,0.9581,EmoVal,10
Layer 24,24,0.9719,EmoVal,10
CNN,0,0.9622,EmoVal,0
Layer 1,1,0.9604,EmoVal,0
Layer 2,2,0.9622,EmoVal,0
Layer 3,3,0.9551,EmoVal,0
Layer 4,4,0.9499,EmoVal,0
Layer 5,5,0.9465,EmoVal,0
Layer 6,6,0.9465,EmoVal,0
Layer 7,7,0.9439,EmoVal,0
Layer 8,8,0.9413,EmoVal,0
Layer 9,9,0.9373,EmoVal,0
Layer 10,10,0.9421,EmoVal,0
Layer 11,11,0.9425,EmoVal,0
Layer 12,12,0.9425,EmoVal,0
Layer 13,13,0.9393,EmoVal,0
Layer 14,14,0.941,EmoVal,0
Layer 15,15,0.941,EmoVal,0
Layer 16,16,0.9426,EmoVal,0
Layer 17,17,0.9443,EmoVal,0
Layer 18,18,0.9526,EmoVal,0
Layer 19,19,0.9521,EmoVal,0
Layer 20,20,0.9557,EmoVal,0
Layer 21,21,0.9578,EmoVal,0
Layer 22,22,0.9657,EmoVal,0
Layer 23,23,0.9749,EmoVal,0
Layer 24,24,0.9847,EmoVal,0
CNN,0,0.8036,EmoAct,5
Layer 1,1,0.7949,EmoAct,5
Layer 2,2,0.7839,EmoAct,5
Layer 3,3,0.7807,EmoAct,5
Layer 4,4,0.7774,EmoAct,5
Layer 5,5,0.7721,EmoAct,5
Layer 6,6,0.7739,EmoAct,5
Layer 7,7,0.7721,EmoAct,5
Layer 8,8,0.7735,EmoAct,5
Layer 9,9,0.78,EmoAct,5
Layer 10,10,0.7848,EmoAct,5
Layer 11,11,0.787,EmoAct,5
Layer 12,12,0.7973,EmoAct,5
Layer 13,13,0.8022,EmoAct,5
Layer 14,14,0.8061,EmoAct,5
Layer 15,15,0.8097,EmoAct,5
Layer 16,16,0.8064,EmoAct,5
Layer 17,17,0.8022,EmoAct,5
Layer 18,18,0.8057,EmoAct,5
Layer 19,19,0.8139,EmoAct,5
Layer 20,20,0.8261,EmoAct,5
Layer 21,21,0.8507,EmoAct,5
Layer 22,22,0.8672,EmoAct,5
Layer 23,23,0.8969,EmoAct,5
Layer 24,24,0.9299,EmoAct,5
CNN,0,0.7437,EmoDom,5
Layer 1,1,0.7394,EmoDom,5
Layer 2,2,0.733,EmoDom,5
Layer 3,3,0.7307,EmoDom,5
Layer 4,4,0.731,EmoDom,5
Layer 5,5,0.7278,EmoDom,5
Layer 6,6,0.7284,EmoDom,5
Layer 7,7,0.7265,EmoDom,5
Layer 8,8,0.7287,EmoDom,5
Layer 9,9,0.7333,EmoDom,5
Layer 10,10,0.7367,EmoDom,5
Layer 11,11,0.7382,EmoDom,5
Layer 12,12,0.7439,EmoDom,5
Layer 13,13,0.7474,EmoDom,5
Layer 14,14,0.7475,EmoDom,5
Layer 15,15,0.7499,EmoDom,5
Layer 16,16,0.7494,EmoDom,5
Layer 17,17,0.7492,EmoDom,5
Layer 18,18,0.7505,EmoDom,5
Layer 19,19,0.7561,EmoDom,5
Layer 20,20,0.7638,EmoDom,5
Layer 21,21,0.7732,EmoDom,5
Layer 22,22,0.7833,EmoDom,5
Layer 23,23,0.8024,EmoDom,5
Layer 24,24,0.8193,EmoDom,5
CNN,0,0.7659,EmoAct,20
Layer 1,1,0.7592,EmoAct,20
Layer 2,2,0.7501,EmoAct,20
Layer 3,3,0.7465,EmoAct,20
Layer 4,4,0.7422,EmoAct,20
Layer 5,5,0.7429,EmoAct,20
Layer 6,6,0.7426,EmoAct,20
Layer 7,7,0.7441,EmoAct,20
Layer 8,8,0.7455,EmoAct,20
Layer 9,9,0.7475,EmoAct,20
Layer 10,10,0.7515,EmoAct,20
Layer 11,11,0.7552,EmoAct,20
Layer 12,12,0.7648,EmoAct,20
Layer 13,13,0.7711,EmoAct,20
Layer 14,14,0.7718,EmoAct,20
Layer 15,15,0.7751,EmoAct,20
Layer 16,16,0.768,EmoAct,20
Layer 17,17,0.7699,EmoAct,20
Layer 18,18,0.7726,EmoAct,20
Layer 19,19,0.7781,EmoAct,20
Layer 20,20,0.7912,EmoAct,20
Layer 21,21,0.8113,EmoAct,20
Layer 22,22,0.8332,EmoAct,20
Layer 23,23,0.8796,EmoAct,20
Layer 24,24,0.9155,EmoAct,20
