Layer,Layer_Num,Accuracy,Weighted_F1,split,test_lang,n_train,n_test
CNN,0,0.4898,0.4948,LOLO_English,English,1434,2546
Layer 1,1,0.5467,0.5664,LOLO_English,English,1434,2546
Layer 2,2,0.3951,0.4147,LOLO_English,English,1434,2546
Layer 3,3,0.5126,0.5308,LOLO_English,English,1434,2546
Layer 4,4,0.5357,0.5546,LOLO_English,English,1434,2546
Layer 5,5,0.4906,0.5122,LOLO_English,English,1434,2546
Layer 6,6,0.5919,0.6037,LOLO_English,English,1434,2546
Layer 7,7,0.6218,0.6305,LOLO_English,English,1434,2546
Layer 8,8,0.6913,0.6997,LOLO_English,English,1434,2546
Layer 9,9,0.6909,0.7027,LOLO_English,English,1434,2546
Layer 10,10,0.6257,0.6426,LOLO_English,English,1434,2546
Layer 11,11,0.6119,0.6306,LOLO_English,English,1434,2546
Layer 12,12,0.6167,0.6334,LOLO_English,English,1434,2546
Layer 13,13,0.5758,0.5827,LOLO_English,English,1434,2546
Layer 14,14,0.5691,0.5839,LOLO_English,English,1434,2546
Layer 15,15,0.5691,0.5743,LOLO_English,English,1434,2546
Layer 16,16,0.5676,0.5765,LOLO_English,English,1434,2546
Layer 17,17,0.5782,0.5916,LOLO_English,English,1434,2546
Layer 18,18,0.6045,0.6123,LOLO_English,English,1434,2546
Layer 19,19,0.5271,0.5572,LOLO_English,English,1434,2546
Layer 20,20,0.5137,0.5395,LOLO_English,English,1434,2546
Layer 21,21,0.5373,0.5532,LOLO_English,English,1434,2546
Layer 22,22,0.6155,0.6354,LOLO_English,English,1434,2546
Layer 23,23,0.6496,0.6689,LOLO_English,English,1434,2546
Layer 24,24,0.6512,0.6706,LOLO_English,English,1434,2546
CNN,0,0.8053,0.7985,LOLO_German,German,3605,375
Layer 1,1,0.7227,0.7295,LOLO_German,German,3605,375
Layer 2,2,0.792,0.8021,LOLO_German,German,3605,375
Layer 3,3,0.8427,0.8532,LOLO_German,German,3605,375
Layer 4,4,0.8933,0.8933,LOLO_German,German,3605,375
Layer 5,5,0.8933,0.8929,LOLO_German,German,3605,375
Layer 6,6,0.856,0.8544,LOLO_German,German,3605,375
Layer 7,7,0.9147,0.9144,LOLO_German,German,3605,375
Layer 8,8,0.944,0.9436,LOLO_German,German,3605,375
Layer 9,9,0.9387,0.9368,LOLO_German,German,3605,375
Layer 10,10,0.936,0.9364,LOLO_German,German,3605,375
Layer 11,11,0.952,0.9527,LOLO_German,German,3605,375
Layer 12,12,0.9307,0.9322,LOLO_German,German,3605,375
Layer 13,13,0.8667,0.8755,LOLO_German,German,3605,375
Layer 14,14,0.9093,0.9129,LOLO_German,German,3605,375
Layer 15,15,0.9013,0.906,LOLO_German,German,3605,375
Layer 16,16,0.8507,0.8564,LOLO_German,German,3605,375
Layer 17,17,0.8533,0.8605,LOLO_German,German,3605,375
Layer 18,18,0.864,0.8673,LOLO_German,German,3605,375
Layer 19,19,0.8427,0.8458,LOLO_German,German,3605,375
Layer 20,20,0.8293,0.8319,LOLO_German,German,3605,375
Layer 21,21,0.816,0.812,LOLO_German,German,3605,375
Layer 22,22,0.856,0.8574,LOLO_German,German,3605,375
