Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,split,n_samples
CNN,0,0.8656,0.0115,0.8655,pooled,3980
Layer 1,1,0.9018,0.0072,0.9018,pooled,3980
Layer 2,2,0.9226,0.0058,0.9226,pooled,3980
Layer 3,3,0.9339,0.0098,0.9339,pooled,3980
Layer 4,4,0.9372,0.0062,0.9371,pooled,3980
Layer 5,5,0.9359,0.0078,0.9358,pooled,3980
Layer 6,6,0.9357,0.0077,0.9355,pooled,3980
Layer 7,7,0.9405,0.0055,0.9403,pooled,3980
Layer 8,8,0.9472,0.0064,0.9471,pooled,3980
Layer 9,9,0.9442,0.0089,0.944,pooled,3980
Layer 10,10,0.9462,0.0084,0.946,pooled,3980
Layer 11,11,0.945,0.0069,0.9447,pooled,3980
Layer 12,12,0.9422,0.0051,0.942,pooled,3980
Layer 13,13,0.944,0.0052,0.9438,pooled,3980
Layer 14,14,0.9394,0.0059,0.9393,pooled,3980
Layer 15,15,0.9349,0.0049,0.9345,pooled,3980
Layer 16,16,0.9276,0.0084,0.9273,pooled,3980
Layer 17,17,0.9234,0.0121,0.923,pooled,3980
Layer 18,18,0.9211,0.0086,0.9208,pooled,3980
Layer 19,19,0.9166,0.0105,0.9164,pooled,3980
Layer 20,20,0.9141,0.0122,0.9137,pooled,3980
Layer 21,21,0.9116,0.0039,0.9113,pooled,3980
Layer 22,22,0.9038,0.0078,0.9035,pooled,3980
Layer 23,23,0.9113,0.0078,0.911,pooled,3980
Layer 24,24,0.8977,0.0126,0.8973,pooled,3980
