Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,split,n_samples
CNN,0,0.8183,0.0076,0.8179,pooled,3980
Layer 1,1,0.857,0.0076,0.8565,pooled,3980
Layer 2,2,0.8802,0.0059,0.8801,pooled,3980
Layer 3,3,0.8927,0.0098,0.8926,pooled,3980
Layer 4,4,0.9023,0.0115,0.9021,pooled,3980
Layer 5,5,0.9075,0.0075,0.9075,pooled,3980
Layer 6,6,0.9075,0.0091,0.9073,pooled,3980
Layer 7,7,0.9055,0.0038,0.9054,pooled,3980
Layer 8,8,0.9035,0.005,0.9029,pooled,3980
Layer 9,9,0.905,0.0072,0.9048,pooled,3980
Layer 10,10,0.9035,0.0073,0.9033,pooled,3980
Layer 11,11,0.899,0.0042,0.8985,pooled,3980
Layer 12,12,0.8997,0.0116,0.8995,pooled,3980
Layer 13,13,0.8967,0.01,0.8964,pooled,3980
Layer 14,14,0.8982,0.0063,0.8977,pooled,3980
Layer 15,15,0.8965,0.0046,0.8961,pooled,3980
Layer 16,16,0.8982,0.0029,0.8979,pooled,3980
Layer 17,17,0.8897,0.0064,0.8895,pooled,3980
Layer 18,18,0.8945,0.0136,0.8941,pooled,3980
Layer 19,19,0.896,0.015,0.8958,pooled,3980
Layer 20,20,0.8955,0.0142,0.8951,pooled,3980
Layer 21,21,0.8839,0.0141,0.8833,pooled,3980
Layer 22,22,0.8809,0.0069,0.8805,pooled,3980
Layer 23,23,0.8746,0.0115,0.8742,pooled,3980
Layer 24,24,0.8756,0.0081,0.8748,pooled,3980
