Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,split,n_samples
CNN,0,0.8505,0.0084,0.8503,pooled,3980
Layer 1,1,0.9085,0.0052,0.9084,pooled,3980
Layer 2,2,0.9176,0.0064,0.9173,pooled,3980
Layer 3,3,0.9314,0.0068,0.9313,pooled,3980
Layer 4,4,0.9362,0.0065,0.9361,pooled,3980
Layer 5,5,0.9372,0.0026,0.937,pooled,3980
Layer 6,6,0.9447,0.0052,0.9446,pooled,3980
Layer 7,7,0.943,0.0059,0.9427,pooled,3980
Layer 8,8,0.9425,0.0084,0.9423,pooled,3980
Layer 9,9,0.9405,0.0051,0.9403,pooled,3980
Layer 10,10,0.9417,0.0053,0.9415,pooled,3980
Layer 11,11,0.9397,0.007,0.9395,pooled,3980
Layer 12,12,0.9347,0.0066,0.9346,pooled,3980
Layer 13,13,0.9354,0.0038,0.9353,pooled,3980
Layer 14,14,0.9317,0.0067,0.9315,pooled,3980
Layer 15,15,0.9289,0.0107,0.9288,pooled,3980
Layer 16,16,0.9294,0.0096,0.9293,pooled,3980
Layer 17,17,0.9289,0.0095,0.9288,pooled,3980
Layer 18,18,0.9249,0.01,0.9246,pooled,3980
Layer 19,19,0.9254,0.0093,0.9252,pooled,3980
Layer 20,20,0.9193,0.0119,0.9192,pooled,3980
Layer 21,21,0.9198,0.0034,0.9196,pooled,3980
Layer 22,22,0.9183,0.0078,0.918,pooled,3980
Layer 23,23,0.9083,0.0135,0.9081,pooled,3980
Layer 24,24,0.905,0.0107,0.9048,pooled,3980
