Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,split,n_samples
CNN,0,0.8291,0.0149,0.8293,pooled,3980
Layer 1,1,0.8736,0.0062,0.8729,pooled,3980
Layer 2,2,0.8882,0.0071,0.8873,pooled,3980
Layer 3,3,0.9055,0.0119,0.9054,pooled,3980
Layer 4,4,0.9123,0.0065,0.912,pooled,3980
Layer 5,5,0.9229,0.0056,0.9228,pooled,3980
Layer 6,6,0.9291,0.0073,0.929,pooled,3980
Layer 7,7,0.9322,0.0057,0.9319,pooled,3980
Layer 8,8,0.9387,0.0079,0.9386,pooled,3980
Layer 9,9,0.9392,0.0095,0.9391,pooled,3980
Layer 10,10,0.9485,0.0089,0.9484,pooled,3980
Layer 11,11,0.9412,0.0109,0.9412,pooled,3980
Layer 12,12,0.9399,0.0098,0.9399,pooled,3980
Layer 13,13,0.9387,0.0115,0.9386,pooled,3980
Layer 14,14,0.9274,0.0163,0.9271,pooled,3980
Layer 15,15,0.9322,0.0155,0.9319,pooled,3980
Layer 16,16,0.9296,0.0086,0.9294,pooled,3980
Layer 17,17,0.9302,0.0078,0.93,pooled,3980
Layer 18,18,0.9344,0.0098,0.9343,pooled,3980
Layer 19,19,0.9314,0.0064,0.9312,pooled,3980
Layer 20,20,0.9279,0.0094,0.9277,pooled,3980
Layer 21,21,0.9231,0.0107,0.9229,pooled,3980
Layer 22,22,0.9241,0.0058,0.9238,pooled,3980
Layer 23,23,0.9216,0.006,0.9214,pooled,3980
Layer 24,24,0.9246,0.0052,0.9243,pooled,3980
