Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,split,n_samples
CNN,0,0.4935,0.0093,0.4614,pooled,3980
Layer 1,1,0.8078,0.0048,0.807,pooled,3980
Layer 2,2,0.8666,0.0047,0.8663,pooled,3980
Layer 3,3,0.9093,0.0042,0.9092,pooled,3980
Layer 4,4,0.9178,0.0038,0.9176,pooled,3980
Layer 5,5,0.9211,0.0065,0.9208,pooled,3980
Layer 6,6,0.9224,0.01,0.9221,pooled,3980
Layer 7,7,0.9178,0.009,0.9175,pooled,3980
Layer 8,8,0.905,0.0058,0.9049,pooled,3980
Layer 9,9,0.9231,0.0122,0.9227,pooled,3980
Layer 10,10,0.9271,0.0036,0.9271,pooled,3980
Layer 11,11,0.9126,0.0086,0.9124,pooled,3980
Layer 12,12,0.9058,0.0093,0.9054,pooled,3980
Layer 13,13,0.9005,0.0024,0.9004,pooled,3980
Layer 14,14,0.9063,0.0049,0.9061,pooled,3980
Layer 15,15,0.9168,0.0035,0.9166,pooled,3980
Layer 16,16,0.9254,0.0052,0.9253,pooled,3980
Layer 17,17,0.9362,0.0071,0.9359,pooled,3980
Layer 18,18,0.9259,0.0078,0.9259,pooled,3980
Layer 19,19,0.9296,0.0051,0.9297,pooled,3980
Layer 20,20,0.9153,0.004,0.9154,pooled,3980
Layer 21,21,0.9058,0.0078,0.9056,pooled,3980
Layer 22,22,0.8849,0.0095,0.8844,pooled,3980
Layer 23,23,0.8638,0.0058,0.8633,pooled,3980
Layer 24,24,0.8198,0.0111,0.8201,pooled,3980
