Layer,Layer_Num,Accuracy,Weighted_F1,split,test_lang,n_train,n_test
CNN,0,0.3134,0.3135,LOLO_English,English,1434,2546
Layer 1,1,0.2722,0.253,LOLO_English,English,1434,2546
Layer 2,2,0.2396,0.2004,LOLO_English,English,1434,2546
Layer 3,3,0.2977,0.2928,LOLO_English,English,1434,2546
Layer 4,4,0.5232,0.5473,LOLO_English,English,1434,2546
Layer 5,5,0.5487,0.5797,LOLO_English,English,1434,2546
Layer 6,6,0.5456,0.564,LOLO_English,English,1434,2546
Layer 7,7,0.4564,0.4667,LOLO_English,English,1434,2546
Layer 8,8,0.5051,0.5244,LOLO_English,English,1434,2546
Layer 9,9,0.4458,0.4567,LOLO_English,English,1434,2546
Layer 10,10,0.5365,0.5558,LOLO_English,English,1434,2546
Layer 11,11,0.401,0.4041,LOLO_English,English,1434,2546
Layer 12,12,0.5082,0.5219,LOLO_English,English,1434,2546
Layer 13,13,0.5617,0.582,LOLO_English,English,1434,2546
Layer 14,14,0.4599,0.4849,LOLO_English,English,1434,2546
Layer 15,15,0.4933,0.5133,LOLO_English,English,1434,2546
Layer 16,16,0.5935,0.6179,LOLO_English,English,1434,2546
Layer 17,17,0.511,0.5317,LOLO_English,English,1434,2546
Layer 18,18,0.5043,0.5221,LOLO_English,English,1434,2546
Layer 19,19,0.4595,0.4686,LOLO_English,English,1434,2546
Layer 20,20,0.4175,0.4341,LOLO_English,English,1434,2546
Layer 21,21,0.4065,0.4159,LOLO_English,English,1434,2546
Layer 22,22,0.4061,0.4074,LOLO_English,English,1434,2546
Layer 23,23,0.3087,0.317,LOLO_English,English,1434,2546
Layer 24,24,0.2675,0.2728,LOLO_English,English,1434,2546
CNN,0,0.752,0.7417,LOLO_German,German,3605,375
Layer 1,1,0.688,0.688,LOLO_German,German,3605,375
Layer 2,2,0.6987,0.6955,LOLO_German,German,3605,375
Layer 3,3,0.8053,0.8032,LOLO_German,German,3605,375
Layer 4,4,0.816,0.8176,LOLO_German,German,3605,375
