Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,split,n_samples
CNN,0,0.8623,0.0067,0.8623,pooled,3980
Layer 1,1,0.8847,0.0084,0.8844,pooled,3980
Layer 2,2,0.8987,0.0079,0.8983,pooled,3980
Layer 3,3,0.9101,0.0089,0.9099,pooled,3980
Layer 4,4,0.9113,0.0077,0.9111,pooled,3980
Layer 5,5,0.9151,0.0042,0.9148,pooled,3980
Layer 6,6,0.9196,0.0095,0.9194,pooled,3980
Layer 7,7,0.9204,0.0136,0.9201,pooled,3980
Layer 8,8,0.9221,0.0084,0.9219,pooled,3980
Layer 9,9,0.9148,0.0085,0.9146,pooled,3980
Layer 10,10,0.9038,0.0045,0.9035,pooled,3980
Layer 11,11,0.9015,0.0071,0.9014,pooled,3980
Layer 12,12,0.8922,0.0059,0.8919,pooled,3980
Layer 13,13,0.8844,0.0046,0.8839,pooled,3980
Layer 14,14,0.8673,0.0109,0.8668,pooled,3980
Layer 15,15,0.8598,0.0099,0.8594,pooled,3980
Layer 16,16,0.8668,0.0084,0.8667,pooled,3980
Layer 17,17,0.8623,0.0087,0.8622,pooled,3980
Layer 18,18,0.8518,0.0148,0.8515,pooled,3980
Layer 19,19,0.8354,0.0164,0.8347,pooled,3980
Layer 20,20,0.8269,0.0091,0.8264,pooled,3980
Layer 21,21,0.8088,0.0109,0.8081,pooled,3980
Layer 22,22,0.7879,0.0065,0.7873,pooled,3980
Layer 23,23,0.7359,0.0173,0.735,pooled,3980
Layer 24,24,0.6764,0.0131,0.6767,pooled,3980
