Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,split,n_samples,model,test_lang,n_train,n_test
CNN,0,0.8505,0.0084,0.8503,pooled,3980.0,WavLM,,,
Layer 1,1,0.9085,0.0052,0.9084,pooled,3980.0,WavLM,,,
Layer 2,2,0.9176,0.0064,0.9173,pooled,3980.0,WavLM,,,
Layer 3,3,0.9314,0.0068,0.9313,pooled,3980.0,WavLM,,,
Layer 4,4,0.9362,0.0065,0.9361,pooled,3980.0,WavLM,,,
Layer 5,5,0.9372,0.0026,0.937,pooled,3980.0,WavLM,,,
Layer 6,6,0.9447,0.0052,0.9446,pooled,3980.0,WavLM,,,
Layer 7,7,0.943,0.0059,0.9427,pooled,3980.0,WavLM,,,
Layer 8,8,0.9425,0.0084,0.9423,pooled,3980.0,WavLM,,,
Layer 9,9,0.9405,0.0051,0.9403,pooled,3980.0,WavLM,,,
Layer 10,10,0.9417,0.0053,0.9415,pooled,3980.0,WavLM,,,
Layer 11,11,0.9397,0.007,0.9395,pooled,3980.0,WavLM,,,
Layer 12,12,0.9347,0.0066,0.9346,pooled,3980.0,WavLM,,,
Layer 13,13,0.9354,0.0038,0.9353,pooled,3980.0,WavLM,,,
Layer 14,14,0.9317,0.0067,0.9315,pooled,3980.0,WavLM,,,
Layer 15,15,0.9289,0.0107,0.9288,pooled,3980.0,WavLM,,,
Layer 16,16,0.9294,0.0096,0.9293,pooled,3980.0,WavLM,,,
Layer 17,17,0.9289,0.0095,0.9288,pooled,3980.0,WavLM,,,
Layer 18,18,0.9249,0.01,0.9246,pooled,3980.0,WavLM,,,
Layer 19,19,0.9254,0.0093,0.9252,pooled,3980.0,WavLM,,,
Layer 20,20,0.9193,0.0119,0.9192,pooled,3980.0,WavLM,,,
Layer 21,21,0.9198,0.0034,0.9196,pooled,3980.0,WavLM,,,
Layer 22,22,0.9183,0.0078,0.918,pooled,3980.0,WavLM,,,
Layer 23,23,0.9083,0.0135,0.9081,pooled,3980.0,WavLM,,,
Layer 24,24,0.905,0.0107,0.9048,pooled,3980.0,WavLM,,,
CNN,0,0.4631,,0.4879,LOLO_English,,WavLM,English,1434.0,2546.0
Layer 1,1,0.4305,,0.4511,LOLO_English,,WavLM,English,1434.0,2546.0
Layer 2,2,0.5809,,0.5961,LOLO_English,,WavLM,English,1434.0,2546.0
Layer 3,3,0.6936,,0.6952,LOLO_English,,WavLM,English,1434.0,2546.0
Layer 4,4,0.6921,,0.6791,LOLO_English,,WavLM,English,1434.0,2546.0
Layer 5,5,0.7046,,0.6938,LOLO_English,,WavLM,English,1434.0,2546.0
Layer 6,6,0.7243,,0.7167,LOLO_English,,WavLM,English,1434.0,2546.0
Layer 7,7,0.6968,,0.693,LOLO_English,,WavLM,English,1434.0,2546.0
Layer 8,8,0.709,,0.7086,LOLO_English,,WavLM,English,1434.0,2546.0
Layer 9,9,0.7294,,0.7317,LOLO_English,,WavLM,English,1434.0,2546.0
Layer 10,10,0.7384,,0.7346,LOLO_English,,WavLM,English,1434.0,2546.0
Layer 11,11,0.7353,,0.7367,LOLO_English,,WavLM,English,1434.0,2546.0
Layer 12,12,0.6826,,0.6957,LOLO_English,,WavLM,English,1434.0,2546.0
Layer 13,13,0.7121,,0.7165,LOLO_English,,WavLM,English,1434.0,2546.0
Layer 14,14,0.72,,0.7194,LOLO_English,,WavLM,English,1434.0,2546.0
Layer 15,15,0.7042,,0.7062,LOLO_English,,WavLM,English,1434.0,2546.0
Layer 16,16,0.6716,,0.6792,LOLO_English,,WavLM,English,1434.0,2546.0
Layer 17,17,0.7023,,0.706,LOLO_English,,WavLM,English,1434.0,2546.0
Layer 18,18,0.7412,,0.7474,LOLO_English,,WavLM,English,1434.0,2546.0
Layer 19,19,0.7101,,0.7134,LOLO_English,,WavLM,English,1434.0,2546.0
Layer 20,20,0.6084,,0.6238,LOLO_English,,WavLM,English,1434.0,2546.0
Layer 21,21,0.6936,,0.7009,LOLO_English,,WavLM,English,1434.0,2546.0
Layer 22,22,0.6288,,0.6351,LOLO_English,,WavLM,English,1434.0,2546.0
Layer 23,23,0.5966,,0.5845,LOLO_English,,WavLM,English,1434.0,2546.0
Layer 24,24,0.5951,,0.61,LOLO_English,,WavLM,English,1434.0,2546.0
CNN,0,0.7653,,0.764,LOLO_German,,WavLM,German,3605.0,375.0
Layer 1,1,0.7413,,0.7548,LOLO_German,,WavLM,German,3605.0,375.0
Layer 2,2,0.648,,0.679,LOLO_German,,WavLM,German,3605.0,375.0
Layer 3,3,0.72,,0.7552,LOLO_German,,WavLM,German,3605.0,375.0
Layer 4,4,0.8347,,0.8383,LOLO_German,,WavLM,German,3605.0,375.0
Layer 5,5,0.888,,0.8828,LOLO_German,,WavLM,German,3605.0,375.0
Layer 6,6,0.928,,0.9254,LOLO_German,,WavLM,German,3605.0,375.0
Layer 7,7,0.936,,0.9344,LOLO_German,,WavLM,German,3605.0,375.0
Layer 8,8,0.9307,,0.9293,LOLO_German,,WavLM,German,3605.0,375.0
Layer 9,9,0.9227,,0.9232,LOLO_German,,WavLM,German,3605.0,375.0
Layer 10,10,0.928,,0.9287,LOLO_German,,WavLM,German,3605.0,375.0
Layer 11,11,0.9387,,0.9385,LOLO_German,,WavLM,German,3605.0,375.0
Layer 12,12,0.9253,,0.9233,LOLO_German,,WavLM,German,3605.0,375.0
Layer 13,13,0.9093,,0.9051,LOLO_German,,WavLM,German,3605.0,375.0
Layer 14,14,0.904,,0.9016,LOLO_German,,WavLM,German,3605.0,375.0
Layer 15,15,0.8987,,0.8975,LOLO_German,,WavLM,German,3605.0,375.0
Layer 16,16,0.912,,0.912,LOLO_German,,WavLM,German,3605.0,375.0
Layer 17,17,0.9067,,0.9071,LOLO_German,,WavLM,German,3605.0,375.0
Layer 18,18,0.8773,,0.8773,LOLO_German,,WavLM,German,3605.0,375.0
Layer 19,19,0.8987,,0.8989,LOLO_German,,WavLM,German,3605.0,375.0
Layer 20,20,0.888,,0.8881,LOLO_German,,WavLM,German,3605.0,375.0
Layer 21,21,0.9067,,0.9051,LOLO_German,,WavLM,German,3605.0,375.0
Layer 22,22,0.9067,,0.9061,LOLO_German,,WavLM,German,3605.0,375.0
Layer 23,23,0.88,,0.8784,LOLO_German,,WavLM,German,3605.0,375.0
Layer 24,24,0.8827,,0.8843,LOLO_German,,WavLM,German,3605.0,375.0
CNN,0,0.6232,,0.6219,LOLO_Greek,,WavLM,Greek,3497.0,483.0
Layer 1,1,0.6108,,0.5813,LOLO_Greek,,WavLM,Greek,3497.0,483.0
Layer 2,2,0.5921,,0.5466,LOLO_Greek,,WavLM,Greek,3497.0,483.0
Layer 3,3,0.5714,,0.5298,LOLO_Greek,,WavLM,Greek,3497.0,483.0
Layer 4,4,0.588,,0.5585,LOLO_Greek,,WavLM,Greek,3497.0,483.0
Layer 5,5,0.648,,0.645,LOLO_Greek,,WavLM,Greek,3497.0,483.0
Layer 6,6,0.6522,,0.6392,LOLO_Greek,,WavLM,Greek,3497.0,483.0
Layer 7,7,0.6542,,0.6416,LOLO_Greek,,WavLM,Greek,3497.0,483.0
Layer 8,8,0.6418,,0.6326,LOLO_Greek,,WavLM,Greek,3497.0,483.0
Layer 9,9,0.7039,,0.7019,LOLO_Greek,,WavLM,Greek,3497.0,483.0
Layer 10,10,0.6667,,0.6515,LOLO_Greek,,WavLM,Greek,3497.0,483.0
Layer 11,11,0.6356,,0.6167,LOLO_Greek,,WavLM,Greek,3497.0,483.0
Layer 12,12,0.5714,,0.5599,LOLO_Greek,,WavLM,Greek,3497.0,483.0
Layer 13,13,0.6605,,0.662,LOLO_Greek,,WavLM,Greek,3497.0,483.0
Layer 14,14,0.648,,0.6484,LOLO_Greek,,WavLM,Greek,3497.0,483.0
Layer 15,15,0.5673,,0.5631,LOLO_Greek,,WavLM,Greek,3497.0,483.0
Layer 16,16,0.6667,,0.657,LOLO_Greek,,WavLM,Greek,3497.0,483.0
Layer 17,17,0.6584,,0.6387,LOLO_Greek,,WavLM,Greek,3497.0,483.0
Layer 18,18,0.6667,,0.6571,LOLO_Greek,,WavLM,Greek,3497.0,483.0
Layer 19,19,0.6832,,0.671,LOLO_Greek,,WavLM,Greek,3497.0,483.0
Layer 20,20,0.5797,,0.5485,LOLO_Greek,,WavLM,Greek,3497.0,483.0
Layer 21,21,0.6273,,0.615,LOLO_Greek,,WavLM,Greek,3497.0,483.0
Layer 22,22,0.6605,,0.6602,LOLO_Greek,,WavLM,Greek,3497.0,483.0
Layer 23,23,0.6377,,0.6138,LOLO_Greek,,WavLM,Greek,3497.0,483.0
Layer 24,24,0.6377,,0.619,LOLO_Greek,,WavLM,Greek,3497.0,483.0
CNN,0,0.3628,,0.2998,LOLO_Spanish,,WavLM,Spanish,3404.0,576.0
Layer 1,1,0.4028,,0.3536,LOLO_Spanish,,WavLM,Spanish,3404.0,576.0
Layer 2,2,0.3906,,0.3338,LOLO_Spanish,,WavLM,Spanish,3404.0,576.0
Layer 3,3,0.4514,,0.4406,LOLO_Spanish,,WavLM,Spanish,3404.0,576.0
Layer 4,4,0.4479,,0.416,LOLO_Spanish,,WavLM,Spanish,3404.0,576.0
Layer 5,5,0.4913,,0.4743,LOLO_Spanish,,WavLM,Spanish,3404.0,576.0
Layer 6,6,0.5035,,0.4904,LOLO_Spanish,,WavLM,Spanish,3404.0,576.0
Layer 7,7,0.5503,,0.5484,LOLO_Spanish,,WavLM,Spanish,3404.0,576.0
Layer 8,8,0.5312,,0.534,LOLO_Spanish,,WavLM,Spanish,3404.0,576.0
Layer 9,9,0.5312,,0.5309,LOLO_Spanish,,WavLM,Spanish,3404.0,576.0
Layer 10,10,0.5104,,0.5,LOLO_Spanish,,WavLM,Spanish,3404.0,576.0
Layer 11,11,0.5295,,0.5253,LOLO_Spanish,,WavLM,Spanish,3404.0,576.0
Layer 12,12,0.5139,,0.4913,LOLO_Spanish,,WavLM,Spanish,3404.0,576.0
Layer 13,13,0.5122,,0.4897,LOLO_Spanish,,WavLM,Spanish,3404.0,576.0
Layer 14,14,0.4983,,0.4808,LOLO_Spanish,,WavLM,Spanish,3404.0,576.0
Layer 15,15,0.526,,0.5132,LOLO_Spanish,,WavLM,Spanish,3404.0,576.0
Layer 16,16,0.4809,,0.457,LOLO_Spanish,,WavLM,Spanish,3404.0,576.0
Layer 17,17,0.5104,,0.4784,LOLO_Spanish,,WavLM,Spanish,3404.0,576.0
Layer 18,18,0.5295,,0.5242,LOLO_Spanish,,WavLM,Spanish,3404.0,576.0
Layer 19,19,0.4757,,0.4434,LOLO_Spanish,,WavLM,Spanish,3404.0,576.0
Layer 20,20,0.4878,,0.4726,LOLO_Spanish,,WavLM,Spanish,3404.0,576.0
Layer 21,21,0.4861,,0.4727,LOLO_Spanish,,WavLM,Spanish,3404.0,576.0
Layer 22,22,0.4444,,0.4268,LOLO_Spanish,,WavLM,Spanish,3404.0,576.0
Layer 23,23,0.4358,,0.4045,LOLO_Spanish,,WavLM,Spanish,3404.0,576.0
Layer 24,24,0.3819,,0.3323,LOLO_Spanish,,WavLM,Spanish,3404.0,576.0
