Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,split,n_samples,model,test_lang,n_train,n_test
CNN,0,0.4935,0.0093,0.4614,pooled,3980.0,w2v-BERT,,,
Layer 1,1,0.8078,0.0048,0.807,pooled,3980.0,w2v-BERT,,,
Layer 2,2,0.8666,0.0047,0.8663,pooled,3980.0,w2v-BERT,,,
Layer 3,3,0.9093,0.0042,0.9092,pooled,3980.0,w2v-BERT,,,
Layer 4,4,0.9178,0.0038,0.9176,pooled,3980.0,w2v-BERT,,,
Layer 5,5,0.9211,0.0065,0.9208,pooled,3980.0,w2v-BERT,,,
Layer 6,6,0.9224,0.01,0.9221,pooled,3980.0,w2v-BERT,,,
Layer 7,7,0.9178,0.009,0.9175,pooled,3980.0,w2v-BERT,,,
Layer 8,8,0.905,0.0058,0.9049,pooled,3980.0,w2v-BERT,,,
Layer 9,9,0.9231,0.0122,0.9227,pooled,3980.0,w2v-BERT,,,
Layer 10,10,0.9271,0.0036,0.9271,pooled,3980.0,w2v-BERT,,,
Layer 11,11,0.9126,0.0086,0.9124,pooled,3980.0,w2v-BERT,,,
Layer 12,12,0.9058,0.0093,0.9054,pooled,3980.0,w2v-BERT,,,
Layer 13,13,0.9005,0.0024,0.9004,pooled,3980.0,w2v-BERT,,,
Layer 14,14,0.9063,0.0049,0.9061,pooled,3980.0,w2v-BERT,,,
Layer 15,15,0.9168,0.0035,0.9166,pooled,3980.0,w2v-BERT,,,
Layer 16,16,0.9254,0.0052,0.9253,pooled,3980.0,w2v-BERT,,,
Layer 17,17,0.9362,0.0071,0.9359,pooled,3980.0,w2v-BERT,,,
Layer 18,18,0.9259,0.0078,0.9259,pooled,3980.0,w2v-BERT,,,
Layer 19,19,0.9296,0.0051,0.9297,pooled,3980.0,w2v-BERT,,,
Layer 20,20,0.9153,0.004,0.9154,pooled,3980.0,w2v-BERT,,,
Layer 21,21,0.9058,0.0078,0.9056,pooled,3980.0,w2v-BERT,,,
Layer 22,22,0.8849,0.0095,0.8844,pooled,3980.0,w2v-BERT,,,
Layer 23,23,0.8638,0.0058,0.8633,pooled,3980.0,w2v-BERT,,,
Layer 24,24,0.8198,0.0111,0.8201,pooled,3980.0,w2v-BERT,,,
CNN,0,0.2922,,0.3229,LOLO_English,,w2v-BERT,English,1434.0,2546.0
Layer 1,1,0.5082,,0.5199,LOLO_English,,w2v-BERT,English,1434.0,2546.0
Layer 2,2,0.5754,,0.5835,LOLO_English,,w2v-BERT,English,1434.0,2546.0
Layer 3,3,0.6002,,0.5951,LOLO_English,,w2v-BERT,English,1434.0,2546.0
Layer 4,4,0.6626,,0.6641,LOLO_English,,w2v-BERT,English,1434.0,2546.0
Layer 5,5,0.7207,,0.7141,LOLO_English,,w2v-BERT,English,1434.0,2546.0
Layer 6,6,0.6563,,0.6343,LOLO_English,,w2v-BERT,English,1434.0,2546.0
Layer 7,7,0.683,,0.6897,LOLO_English,,w2v-BERT,English,1434.0,2546.0
Layer 8,8,0.6005,,0.6047,LOLO_English,,w2v-BERT,English,1434.0,2546.0
Layer 9,9,0.7219,,0.7255,LOLO_English,,w2v-BERT,English,1434.0,2546.0
Layer 10,10,0.5801,,0.6068,LOLO_English,,w2v-BERT,English,1434.0,2546.0
Layer 11,11,0.5888,,0.6133,LOLO_English,,w2v-BERT,English,1434.0,2546.0
Layer 12,12,0.6422,,0.657,LOLO_English,,w2v-BERT,English,1434.0,2546.0
Layer 13,13,0.6775,,0.6728,LOLO_English,,w2v-BERT,English,1434.0,2546.0
Layer 14,14,0.7003,,0.6823,LOLO_English,,w2v-BERT,English,1434.0,2546.0
Layer 15,15,0.6689,,0.6638,LOLO_English,,w2v-BERT,English,1434.0,2546.0
Layer 16,16,0.6826,,0.6936,LOLO_English,,w2v-BERT,English,1434.0,2546.0
Layer 17,17,0.6202,,0.6379,LOLO_English,,w2v-BERT,English,1434.0,2546.0
Layer 18,18,0.6002,,0.6191,LOLO_English,,w2v-BERT,English,1434.0,2546.0
