Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6628,0.0089,0.662
Layer 1,1,0.6714,0.014,0.6712
Layer 2,2,0.6584,0.0194,0.658
Layer 3,3,0.6643,0.0195,0.664
Layer 4,4,0.6681,0.0172,0.6679
Layer 5,5,0.6747,0.0197,0.6744
Layer 6,6,0.6751,0.0178,0.6751
Layer 7,7,0.6778,0.0211,0.6777
Layer 8,8,0.6716,0.0176,0.6717
Layer 9,9,0.6778,0.0105,0.678
Layer 10,10,0.6687,0.0181,0.6685
Layer 11,11,0.6709,0.0126,0.6707
Layer 12,12,0.6766,0.0064,0.6768
Layer 13,13,0.6822,0.0076,0.6821
Layer 14,14,0.6806,0.0083,0.6806
Layer 15,15,0.672,0.0088,0.672
Layer 16,16,0.6731,0.0081,0.6732
Layer 17,17,0.672,0.0064,0.6719
Layer 18,18,0.6705,0.0093,0.6702
Layer 19,19,0.663,0.0051,0.6629
Layer 20,20,0.652,0.0086,0.6518
Layer 21,21,0.6555,0.0062,0.6553
Layer 22,22,0.6652,0.0141,0.6652
Layer 23,23,0.6581,0.0141,0.6581
Layer 24,24,0.6581,0.0035,0.6581
