Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6204,0.004,0.5983
Layer 1,1,0.6138,0.0073,0.6018
Layer 2,2,0.6053,0.0073,0.5981
Layer 3,3,0.6053,0.0026,0.6009
Layer 4,4,0.5974,0.0084,0.5933
Layer 5,5,0.6028,0.0049,0.5993
Layer 6,6,0.602,0.0077,0.598
Layer 7,7,0.6031,0.0092,0.5999
Layer 8,8,0.602,0.0051,0.5989
Layer 9,9,0.5994,0.0051,0.597
Layer 10,10,0.6047,0.0069,0.6011
Layer 11,11,0.6093,0.0062,0.6068
Layer 12,12,0.6082,0.0095,0.6067
Layer 13,13,0.6068,0.0042,0.6044
Layer 14,14,0.6078,0.0065,0.6055
Layer 15,15,0.6036,0.0111,0.6023
Layer 16,16,0.6122,0.0076,0.6123
Layer 17,17,0.6142,0.0088,0.6139
Layer 18,18,0.6082,0.0078,0.6086
Layer 19,19,0.6123,0.0114,0.614
Layer 20,20,0.6095,0.011,0.6114
Layer 21,21,0.611,0.0046,0.6123
Layer 22,22,0.6195,0.0097,0.6185
Layer 23,23,0.6117,0.0149,0.6108
Layer 24,24,0.6144,0.0078,0.6129
