Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.8743,0.0207,0.8748
Layer 1,1,0.9227,0.0183,0.9231
Layer 2,2,0.9525,0.0142,0.9526
Layer 3,3,0.9568,0.01,0.9568
Layer 4,4,0.9499,0.0083,0.95
Layer 5,5,0.9616,0.0052,0.9617
Layer 6,6,0.9642,0.0052,0.9642
Layer 7,7,0.965,0.007,0.9651
Layer 8,8,0.9633,0.0056,0.9632
Layer 9,9,0.9676,0.0072,0.9677
Layer 10,10,0.9637,0.0059,0.9638
Layer 11,11,0.9663,0.0061,0.9664
Layer 12,12,0.9659,0.0072,0.9659
Layer 13,13,0.9706,0.0104,0.9706
Layer 14,14,0.9646,0.0144,0.9646
Layer 15,15,0.9655,0.0073,0.9654
Layer 16,16,0.9611,0.0112,0.9611
Layer 17,17,0.9586,0.0044,0.9584
Layer 18,18,0.9577,0.0076,0.9576
Layer 19,19,0.9538,0.0112,0.9539
Layer 20,20,0.9564,0.0072,0.9564
Layer 21,21,0.9516,0.0105,0.9517
Layer 22,22,0.9473,0.0105,0.9475
Layer 23,23,0.9529,0.0113,0.9532
Layer 24,24,0.9478,0.0074,0.9481
