Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.7271,0.0153,0.7257
Layer 1,1,0.7854,0.0393,0.7835
Layer 2,2,0.8271,0.0214,0.827
Layer 3,3,0.8646,0.0228,0.8626
Layer 4,4,0.8646,0.0114,0.8624
Layer 5,5,0.8688,0.0193,0.8664
Layer 6,6,0.8833,0.0179,0.8818
Layer 7,7,0.8896,0.0141,0.8874
Layer 8,8,0.8833,0.0121,0.8831
Layer 9,9,0.8833,0.0179,0.8821
Layer 10,10,0.8708,0.0252,0.8697
Layer 11,11,0.8771,0.0167,0.8747
Layer 12,12,0.8792,0.0252,0.8778
Layer 13,13,0.8708,0.0234,0.8695
Layer 14,14,0.8708,0.0193,0.8708
Layer 15,15,0.8625,0.0232,0.8605
Layer 16,16,0.875,0.0228,0.8743
Layer 17,17,0.8583,0.0376,0.8574
Layer 18,18,0.8479,0.0358,0.8472
Layer 19,19,0.8521,0.0381,0.8518
Layer 20,20,0.8521,0.0319,0.8522
Layer 21,21,0.8542,0.0475,0.8534
Layer 22,22,0.8667,0.0414,0.8674
Layer 23,23,0.8396,0.0306,0.8392
Layer 24,24,0.8104,0.0351,0.8085
