Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6521,0.0591,0.6467
Layer 1,1,0.7104,0.0305,0.7037
Layer 2,2,0.7562,0.0327,0.7513
Layer 3,3,0.7229,0.0299,0.7195
Layer 4,4,0.7646,0.0399,0.7601
Layer 5,5,0.7875,0.034,0.7856
Layer 6,6,0.7896,0.0319,0.787
Layer 7,7,0.7729,0.0283,0.7708
Layer 8,8,0.7771,0.0306,0.7756
Layer 9,9,0.7646,0.0313,0.7623
Layer 10,10,0.7833,0.0414,0.7799
Layer 11,11,0.7875,0.0333,0.7868
Layer 12,12,0.7625,0.0232,0.7606
Layer 13,13,0.7625,0.0345,0.7608
Layer 14,14,0.7667,0.0299,0.7639
Layer 15,15,0.7333,0.0521,0.7324
Layer 16,16,0.7271,0.0375,0.7268
Layer 17,17,0.7271,0.0222,0.7243
Layer 18,18,0.7271,0.0232,0.7255
Layer 19,19,0.7229,0.034,0.7189
Layer 20,20,0.7146,0.0169,0.7125
Layer 21,21,0.6938,0.0352,0.6909
Layer 22,22,0.6958,0.0357,0.6927
Layer 23,23,0.675,0.0363,0.6702
Layer 24,24,0.6896,0.052,0.6868
