Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.8129,0.0086,0.8129
Layer 1,1,0.8626,0.0185,0.8623
Layer 2,2,0.8758,0.012,0.8755
Layer 3,3,0.899,0.013,0.8989
Layer 4,4,0.9189,0.0034,0.9185
Layer 5,5,0.9255,0.0158,0.9253
Layer 6,6,0.9454,0.0154,0.9451
Layer 7,7,0.947,0.0186,0.9468
Layer 8,8,0.9404,0.016,0.9398
Layer 9,9,0.9504,0.0173,0.9502
Layer 10,10,0.9421,0.0215,0.9417
Layer 11,11,0.9421,0.0117,0.9417
Layer 12,12,0.9338,0.0173,0.9335
Layer 13,13,0.9222,0.0219,0.9216
Layer 14,14,0.9321,0.0252,0.9317
Layer 15,15,0.9255,0.025,0.9254
Layer 16,16,0.9239,0.0247,0.9237
Layer 17,17,0.909,0.0321,0.9089
Layer 18,18,0.914,0.0298,0.9139
Layer 19,19,0.9023,0.0273,0.9026
Layer 20,20,0.9073,0.0225,0.9072
Layer 21,21,0.9056,0.0219,0.906
Layer 22,22,0.8874,0.0299,0.887
Layer 23,23,0.8874,0.0111,0.8868
Layer 24,24,0.8891,0.0153,0.8881
