Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.8897,0.0546,0.8884
Layer 1,1,0.9458,0.0331,0.9455
Layer 2,2,0.9626,0.0244,0.9624
Layer 3,3,0.9738,0.0137,0.9737
Layer 4,4,0.9757,0.0173,0.9756
Layer 5,5,0.9794,0.0092,0.9793
Layer 6,6,0.9813,0.0177,0.9812
Layer 7,7,0.9813,0.0156,0.9812
Layer 8,8,0.9869,0.0127,0.9869
Layer 9,9,0.9794,0.0137,0.9795
Layer 10,10,0.985,0.0127,0.9849
Layer 11,11,0.9776,0.0075,0.9776
Layer 12,12,0.9776,0.0095,0.9774
Layer 13,13,0.9701,0.007,0.97
Layer 14,14,0.9682,0.0127,0.968
Layer 15,15,0.9664,0.0163,0.9663
Layer 16,16,0.9589,0.0226,0.9588
Layer 17,17,0.9645,0.0124,0.9643
Layer 18,18,0.9701,0.015,0.9699
Layer 19,19,0.9682,0.0248,0.9679
Layer 20,20,0.9664,0.0152,0.9661
Layer 21,21,0.9589,0.0095,0.9586
Layer 22,22,0.957,0.0183,0.9566
Layer 23,23,0.9477,0.0127,0.9471
Layer 24,24,0.9477,0.0163,0.947
