Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6544,0.0111,0.6537
Layer 1,1,0.6667,0.0103,0.6665
Layer 2,2,0.6826,0.0131,0.6824
Layer 3,3,0.6742,0.0151,0.6741
Layer 4,4,0.6634,0.0246,0.6632
Layer 5,5,0.6687,0.0129,0.6685
Layer 6,6,0.6725,0.0153,0.6726
Layer 7,7,0.6679,0.0176,0.6682
Layer 8,8,0.6764,0.0141,0.6767
Layer 9,9,0.6819,0.015,0.6819
Layer 10,10,0.685,0.0216,0.6848
Layer 11,11,0.6832,0.014,0.6831
Layer 12,12,0.6822,0.0168,0.6822
Layer 13,13,0.6848,0.0135,0.6848
Layer 14,14,0.683,0.0051,0.683
Layer 15,15,0.6804,0.0037,0.6805
Layer 16,16,0.6852,0.0131,0.685
Layer 17,17,0.6855,0.017,0.6856
Layer 18,18,0.68,0.0148,0.6799
Layer 19,19,0.6839,0.0077,0.6837
Layer 20,20,0.6745,0.0079,0.6744
Layer 21,21,0.6852,0.015,0.6851
Layer 22,22,0.689,0.0065,0.6893
Layer 23,23,0.6734,0.0215,0.6735
Layer 24,24,0.6658,0.0171,0.6659
