Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.7796,0.0302,0.7783
Layer 1,1,0.8631,0.0267,0.8633
Layer 2,2,0.8979,0.0081,0.8975
Layer 3,3,0.8921,0.0048,0.8915
Layer 4,4,0.8956,0.016,0.8954
Layer 5,5,0.9107,0.0199,0.9104
Layer 6,6,0.9096,0.0208,0.9094
Layer 7,7,0.9246,0.0131,0.9245
Layer 8,8,0.9154,0.0172,0.9148
Layer 9,9,0.8991,0.0076,0.899
Layer 10,10,0.8829,0.0252,0.8822
Layer 11,11,0.8817,0.0163,0.8808
Layer 12,12,0.8666,0.0264,0.8655
Layer 13,13,0.8411,0.0274,0.84
Layer 14,14,0.8144,0.0233,0.813
Layer 15,15,0.8051,0.0302,0.8044
Layer 16,16,0.804,0.0245,0.8035
Layer 17,17,0.7982,0.0159,0.7977
Layer 18,18,0.797,0.0115,0.7961
Layer 19,19,0.7936,0.0342,0.7925
Layer 20,20,0.7749,0.0199,0.7752
Layer 21,21,0.7715,0.0265,0.7703
Layer 22,22,0.7622,0.0269,0.7611
Layer 23,23,0.739,0.0333,0.7379
Layer 24,24,0.7297,0.0137,0.7291
