Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.8592,0.0172,0.8596
Layer 1,1,0.9296,0.0149,0.9296
Layer 2,2,0.9335,0.01,0.9335
Layer 3,3,0.9499,0.0091,0.9502
Layer 4,4,0.9529,0.0129,0.9529
Layer 5,5,0.9542,0.0139,0.9542
Layer 6,6,0.9607,0.0112,0.9608
Layer 7,7,0.9616,0.0099,0.9616
Layer 8,8,0.9603,0.0093,0.9603
Layer 9,9,0.9663,0.0113,0.9663
Layer 10,10,0.9702,0.0044,0.9702
Layer 11,11,0.9663,0.0062,0.9664
Layer 12,12,0.9698,0.0088,0.9699
Layer 13,13,0.9693,0.0105,0.9694
Layer 14,14,0.9672,0.0126,0.9673
Layer 15,15,0.9672,0.0141,0.9673
Layer 16,16,0.9655,0.0133,0.9656
Layer 17,17,0.962,0.0129,0.9621
Layer 18,18,0.9559,0.0137,0.9561
Layer 19,19,0.962,0.0082,0.962
Layer 20,20,0.9568,0.0134,0.9569
Layer 21,21,0.9555,0.0082,0.9556
Layer 22,22,0.956,0.0112,0.956
Layer 23,23,0.9482,0.0113,0.9481
Layer 24,24,0.946,0.0147,0.9462
