Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.8079,0.0267,0.8074
Layer 1,1,0.798,0.017,0.7973
Layer 2,2,0.8295,0.0171,0.8287
Layer 3,3,0.8642,0.0172,0.8636
Layer 4,4,0.8974,0.017,0.8964
Layer 5,5,0.9189,0.0096,0.9184
Layer 6,6,0.9239,0.008,0.9233
Layer 7,7,0.9421,0.0104,0.9416
Layer 8,8,0.9255,0.0052,0.9244
Layer 9,9,0.9421,0.0209,0.9415
Layer 10,10,0.9586,0.0216,0.9583
Layer 11,11,0.9337,0.0149,0.9332
Layer 12,12,0.9338,0.0261,0.9333
Layer 13,13,0.9387,0.0308,0.9384
Layer 14,14,0.9338,0.0251,0.9333
Layer 15,15,0.9437,0.016,0.9436
Layer 16,16,0.9304,0.0261,0.93
Layer 17,17,0.9288,0.0346,0.9282
Layer 18,18,0.9371,0.025,0.9366
Layer 19,19,0.9304,0.025,0.9301
Layer 20,20,0.9239,0.0095,0.9235
Layer 21,21,0.9255,0.0172,0.9253
Layer 22,22,0.9189,0.0191,0.9184
Layer 23,23,0.904,0.026,0.9039
Layer 24,24,0.9106,0.0319,0.9105
