Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.8312,0.0258,0.8307
Layer 1,1,0.8964,0.0243,0.8965
Layer 2,2,0.924,0.011,0.924
Layer 3,3,0.927,0.0109,0.9271
Layer 4,4,0.9452,0.0097,0.9452
Layer 5,5,0.9564,0.0069,0.9563
Layer 6,6,0.9642,0.0095,0.9642
Layer 7,7,0.9629,0.0134,0.9629
Layer 8,8,0.962,0.0065,0.9621
Layer 9,9,0.965,0.0066,0.9652
Layer 10,10,0.9706,0.0103,0.9707
Layer 11,11,0.9663,0.0088,0.9664
Layer 12,12,0.9685,0.0074,0.9686
Layer 13,13,0.9672,0.0092,0.9672
Layer 14,14,0.9685,0.0074,0.9685
Layer 15,15,0.9646,0.0093,0.9646
Layer 16,16,0.9685,0.0072,0.9685
Layer 17,17,0.9728,0.0082,0.9728
Layer 18,18,0.975,0.0071,0.975
Layer 19,19,0.9668,0.0054,0.9668
Layer 20,20,0.968,0.0077,0.9681
Layer 21,21,0.968,0.0078,0.968
Layer 22,22,0.9668,0.0032,0.9668
Layer 23,23,0.9624,0.0052,0.9624
Layer 24,24,0.9637,0.0057,0.9638
