Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.2947,0.0271,0.2949
Layer 1,1,0.6424,0.0381,0.6399
Layer 2,2,0.7549,0.0241,0.7543
Layer 3,3,0.8559,0.0406,0.8551
Layer 4,4,0.8874,0.0367,0.8864
Layer 5,5,0.8858,0.0246,0.8851
Layer 6,6,0.8742,0.0282,0.8734
Layer 7,7,0.8759,0.0401,0.8761
Layer 8,8,0.856,0.0296,0.8559
Layer 9,9,0.9089,0.0196,0.9085
Layer 10,10,0.8824,0.0383,0.8813
Layer 11,11,0.8659,0.018,0.8649
Layer 12,12,0.8328,0.0109,0.8333
Layer 13,13,0.841,0.0276,0.8399
Layer 14,14,0.8477,0.0292,0.8464
Layer 15,15,0.8742,0.0192,0.8736
Layer 16,16,0.9238,0.0142,0.9234
Layer 17,17,0.947,0.0162,0.9466
Layer 18,18,0.9239,0.0224,0.9238
Layer 19,19,0.9106,0.0229,0.9107
Layer 20,20,0.8825,0.0257,0.8822
Layer 21,21,0.8444,0.0216,0.8438
Layer 22,22,0.7915,0.0319,0.7899
Layer 23,23,0.7434,0.0431,0.7433
Layer 24,24,0.6242,0.0374,0.6233
