Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.3519,0.0155,0.3507
Layer 1,1,0.8761,0.0165,0.8763
Layer 2,2,0.924,0.0148,0.9244
Layer 3,3,0.9417,0.0162,0.9419
Layer 4,4,0.9573,0.0082,0.9573
Layer 5,5,0.9495,0.0131,0.9496
Layer 6,6,0.9547,0.0124,0.9549
Layer 7,7,0.9568,0.0148,0.9569
Layer 8,8,0.9413,0.0126,0.9412
Layer 9,9,0.9503,0.0116,0.9504
Layer 10,10,0.9568,0.0133,0.9569
Layer 11,11,0.9478,0.0145,0.9478
Layer 12,12,0.9443,0.015,0.9444
Layer 13,13,0.9447,0.0108,0.9451
Layer 14,14,0.9486,0.0153,0.9486
Layer 15,15,0.9503,0.0072,0.9505
Layer 16,16,0.962,0.0071,0.962
Layer 17,17,0.9655,0.0064,0.9655
Layer 18,18,0.9611,0.0101,0.9612
Layer 19,19,0.9516,0.01,0.9518
Layer 20,20,0.9529,0.0112,0.9531
Layer 21,21,0.9391,0.008,0.9393
Layer 22,22,0.9201,0.0102,0.9205
Layer 23,23,0.9162,0.0097,0.9167
Layer 24,24,0.8847,0.0128,0.8849
