Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.3021,0.0422,0.3049
Layer 1,1,0.675,0.0486,0.6713
Layer 2,2,0.7333,0.0268,0.7305
Layer 3,3,0.7688,0.0472,0.7679
Layer 4,4,0.7917,0.0316,0.7916
Layer 5,5,0.7729,0.0351,0.7696
Layer 6,6,0.7896,0.0298,0.7856
Layer 7,7,0.7792,0.0138,0.78
Layer 8,8,0.7479,0.0259,0.7472
Layer 9,9,0.8083,0.0106,0.8068
Layer 10,10,0.8167,0.0193,0.8177
Layer 11,11,0.8062,0.026,0.8058
Layer 12,12,0.7958,0.0214,0.7951
Layer 13,13,0.7979,0.0214,0.7973
Layer 14,14,0.7938,0.0179,0.7905
Layer 15,15,0.775,0.0284,0.774
Layer 16,16,0.8292,0.0193,0.829
Layer 17,17,0.8292,0.0276,0.829
Layer 18,18,0.8167,0.026,0.8153
Layer 19,19,0.7979,0.0243,0.7955
Layer 20,20,0.7958,0.0141,0.7941
Layer 21,21,0.7688,0.0222,0.7668
Layer 22,22,0.7229,0.0252,0.7232
Layer 23,23,0.6854,0.0202,0.683
Layer 24,24,0.6021,0.0325,0.5982
