Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.7698,0.022,0.7693
Layer 1,1,0.8361,0.0245,0.8359
Layer 2,2,0.8477,0.0131,0.847
Layer 3,3,0.8791,0.0123,0.8798
Layer 4,4,0.899,0.0085,0.8985
Layer 5,5,0.9255,0.018,0.9258
Layer 6,6,0.9305,0.0243,0.9304
Layer 7,7,0.9305,0.0333,0.9301
Layer 8,8,0.9156,0.0205,0.9149
Layer 9,9,0.9172,0.0128,0.9172
Layer 10,10,0.9254,0.0237,0.9253
Layer 11,11,0.8957,0.0379,0.8954
Layer 12,12,0.8427,0.0281,0.841
Layer 13,13,0.8394,0.0216,0.8384
Layer 14,14,0.8178,0.0188,0.8173
Layer 15,15,0.7715,0.0264,0.7707
Layer 16,16,0.7946,0.0238,0.7931
Layer 17,17,0.7715,0.0111,0.7702
Layer 18,18,0.7831,0.0142,0.7827
Layer 19,19,0.7384,0.0372,0.7379
Layer 20,20,0.7333,0.0376,0.7324
Layer 21,21,0.6887,0.0246,0.6896
Layer 22,22,0.6224,0.0601,0.6235
Layer 23,23,0.4916,0.0342,0.492
Layer 24,24,0.3857,0.0342,0.3807
