Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6394,0.015,0.6391
Layer 1,1,0.6337,0.0123,0.6337
Layer 2,2,0.6297,0.0188,0.6296
Layer 3,3,0.6282,0.0083,0.6282
Layer 4,4,0.6368,0.0101,0.6366
Layer 5,5,0.6317,0.0211,0.6315
Layer 6,6,0.6377,0.0107,0.6374
Layer 7,7,0.6214,0.0117,0.621
Layer 8,8,0.6416,0.0105,0.6412
Layer 9,9,0.6379,0.0175,0.6378
Layer 10,10,0.6278,0.0119,0.6275
Layer 11,11,0.6212,0.0131,0.621
Layer 12,12,0.6179,0.0081,0.6174
Layer 13,13,0.6101,0.0112,0.6097
Layer 14,14,0.6029,0.0077,0.6028
Layer 15,15,0.6132,0.0162,0.6128
Layer 16,16,0.6104,0.0191,0.6102
Layer 17,17,0.609,0.0142,0.6088
Layer 18,18,0.6126,0.0188,0.6127
Layer 19,19,0.6158,0.0206,0.6156
Layer 20,20,0.6007,0.0121,0.6005
Layer 21,21,0.6004,0.0145,0.5999
Layer 22,22,0.5799,0.0164,0.5791
Layer 23,23,0.5462,0.0114,0.5456
Layer 24,24,0.5004,0.0145,0.4997
