Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6812,0.0299,0.6761
Layer 1,1,0.7271,0.0298,0.7256
Layer 2,2,0.7458,0.0376,0.7419
Layer 3,3,0.7583,0.0414,0.7545
Layer 4,4,0.7896,0.0275,0.7845
Layer 5,5,0.7917,0.0174,0.7885
Layer 6,6,0.8021,0.0174,0.7998
Layer 7,7,0.8188,0.0313,0.8178
Layer 8,8,0.8167,0.0156,0.8153
Layer 9,9,0.8375,0.0234,0.8356
Layer 10,10,0.8375,0.0404,0.8355
Layer 11,11,0.8292,0.0284,0.8274
Layer 12,12,0.8542,0.0114,0.8537
Layer 13,13,0.8583,0.0169,0.857
Layer 14,14,0.8583,0.0234,0.8575
Layer 15,15,0.8354,0.0332,0.8358
Layer 16,16,0.8417,0.0212,0.8413
Layer 17,17,0.825,0.0363,0.8258
Layer 18,18,0.7917,0.0342,0.7899
Layer 19,19,0.7938,0.0259,0.7932
Layer 20,20,0.7688,0.0202,0.7661
Layer 21,21,0.7458,0.0234,0.7443
Layer 22,22,0.7375,0.029,0.7322
Layer 23,23,0.6604,0.0224,0.6568
Layer 24,24,0.5292,0.0241,0.5268
