Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Dataset
CNN,0,0.8743,0.0207,0.8748,RAVDESS
Layer 1,1,0.9227,0.0183,0.9231,RAVDESS
Layer 2,2,0.9525,0.0142,0.9526,RAVDESS
Layer 3,3,0.9568,0.01,0.9568,RAVDESS
Layer 4,4,0.9499,0.0083,0.95,RAVDESS
Layer 5,5,0.9616,0.0052,0.9617,RAVDESS
Layer 6,6,0.9642,0.0052,0.9642,RAVDESS
Layer 7,7,0.965,0.007,0.9651,RAVDESS
Layer 8,8,0.9633,0.0056,0.9632,RAVDESS
Layer 9,9,0.9676,0.0072,0.9677,RAVDESS
Layer 10,10,0.9637,0.0059,0.9638,RAVDESS
Layer 11,11,0.9663,0.0061,0.9664,RAVDESS
Layer 12,12,0.9659,0.0072,0.9659,RAVDESS
Layer 13,13,0.9706,0.0104,0.9706,RAVDESS
Layer 14,14,0.9646,0.0144,0.9646,RAVDESS
Layer 15,15,0.9655,0.0073,0.9654,RAVDESS
Layer 16,16,0.9611,0.0112,0.9611,RAVDESS
Layer 17,17,0.9586,0.0044,0.9584,RAVDESS
Layer 18,18,0.9577,0.0076,0.9576,RAVDESS
Layer 19,19,0.9538,0.0112,0.9539,RAVDESS
Layer 20,20,0.9564,0.0072,0.9564,RAVDESS
Layer 21,21,0.9516,0.0105,0.9517,RAVDESS
Layer 22,22,0.9473,0.0105,0.9475,RAVDESS
Layer 23,23,0.9529,0.0113,0.9532,RAVDESS
Layer 24,24,0.9478,0.0074,0.9481,RAVDESS
CNN,0,0.6204,0.004,0.5983,MSP-Podcast
Layer 1,1,0.6138,0.0073,0.6018,MSP-Podcast
Layer 2,2,0.6053,0.0073,0.5981,MSP-Podcast
Layer 3,3,0.6053,0.0026,0.6009,MSP-Podcast
Layer 4,4,0.5974,0.0084,0.5933,MSP-Podcast
Layer 5,5,0.6028,0.0049,0.5993,MSP-Podcast
Layer 6,6,0.602,0.0077,0.598,MSP-Podcast
Layer 7,7,0.6031,0.0092,0.5999,MSP-Podcast
Layer 8,8,0.602,0.0051,0.5989,MSP-Podcast
Layer 9,9,0.5994,0.0051,0.597,MSP-Podcast
Layer 10,10,0.6047,0.0069,0.6011,MSP-Podcast
Layer 11,11,0.6093,0.0062,0.6068,MSP-Podcast
Layer 12,12,0.6082,0.0095,0.6067,MSP-Podcast
Layer 13,13,0.6068,0.0042,0.6044,MSP-Podcast
Layer 14,14,0.6078,0.0065,0.6055,MSP-Podcast
Layer 15,15,0.6036,0.0111,0.6023,MSP-Podcast
Layer 16,16,0.6122,0.0076,0.6123,MSP-Podcast
Layer 17,17,0.6142,0.0088,0.6139,MSP-Podcast
Layer 18,18,0.6082,0.0078,0.6086,MSP-Podcast
Layer 19,19,0.6123,0.0114,0.614,MSP-Podcast
Layer 20,20,0.6095,0.011,0.6114,MSP-Podcast
Layer 21,21,0.611,0.0046,0.6123,MSP-Podcast
Layer 22,22,0.6195,0.0097,0.6185,MSP-Podcast
Layer 23,23,0.6117,0.0149,0.6108,MSP-Podcast
Layer 24,24,0.6144,0.0078,0.6129,MSP-Podcast
CNN,0,0.9121,0.0569,0.9108,EmoDB
Layer 1,1,0.9402,0.0416,0.9394,EmoDB
Layer 2,2,0.9589,0.0173,0.9588,EmoDB
Layer 3,3,0.9664,0.0183,0.9662,EmoDB
Layer 4,4,0.972,0.0196,0.9719,EmoDB
Layer 5,5,0.9738,0.0161,0.9738,EmoDB
Layer 6,6,0.9776,0.014,0.9775,EmoDB
Layer 7,7,0.9757,0.0183,0.9756,EmoDB
Layer 8,8,0.9794,0.0181,0.9793,EmoDB
Layer 9,9,0.985,0.0095,0.985,EmoDB
Layer 10,10,0.9832,0.0092,0.9831,EmoDB
Layer 11,11,0.9888,0.0109,0.9887,EmoDB
