Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Dataset
CNN,0,0.745,0.0269,0.746,AESDD
Layer 1,1,0.8146,0.0456,0.8143,AESDD
Layer 2,2,0.8344,0.0117,0.8339,AESDD
Layer 3,3,0.846,0.0271,0.8461,AESDD
Layer 4,4,0.8708,0.0268,0.8709,AESDD
Layer 5,5,0.8791,0.0316,0.8799,AESDD
Layer 6,6,0.8758,0.0421,0.876,AESDD
Layer 7,7,0.8725,0.0328,0.8727,AESDD
Layer 8,8,0.8874,0.0182,0.8874,AESDD
Layer 9,9,0.8907,0.0255,0.8905,AESDD
Layer 10,10,0.8774,0.0252,0.8775,AESDD
Layer 11,11,0.8708,0.03,0.8708,AESDD
Layer 12,12,0.8725,0.0305,0.8724,AESDD
Layer 13,13,0.8625,0.0223,0.8629,AESDD
Layer 14,14,0.8791,0.0373,0.8792,AESDD
Layer 15,15,0.8642,0.0329,0.864,AESDD
Layer 16,16,0.8658,0.0306,0.8657,AESDD
Layer 17,17,0.8675,0.0275,0.8676,AESDD
Layer 18,18,0.8559,0.0256,0.856,AESDD
Layer 19,19,0.8609,0.0275,0.8609,AESDD
Layer 20,20,0.8411,0.0293,0.8413,AESDD
Layer 21,21,0.8278,0.0211,0.8283,AESDD
Layer 22,22,0.8278,0.0278,0.8274,AESDD
Layer 23,23,0.8179,0.0229,0.817,AESDD
Layer 24,24,0.8096,0.0389,0.8097,AESDD
CNN,0,0.6521,0.0591,0.6467,SAVEE
Layer 1,1,0.7104,0.0305,0.7037,SAVEE
Layer 2,2,0.7562,0.0327,0.7513,SAVEE
Layer 3,3,0.7229,0.0299,0.7195,SAVEE
Layer 4,4,0.7646,0.0399,0.7601,SAVEE
Layer 5,5,0.7875,0.034,0.7856,SAVEE
Layer 6,6,0.7896,0.0319,0.787,SAVEE
Layer 7,7,0.7729,0.0283,0.7708,SAVEE
Layer 8,8,0.7771,0.0306,0.7756,SAVEE
Layer 9,9,0.7646,0.0313,0.7623,SAVEE
Layer 10,10,0.7833,0.0414,0.7799,SAVEE
Layer 11,11,0.7875,0.0333,0.7868,SAVEE
Layer 12,12,0.7625,0.0232,0.7606,SAVEE
Layer 13,13,0.7625,0.0345,0.7608,SAVEE
Layer 14,14,0.7667,0.0299,0.7639,SAVEE
Layer 15,15,0.7333,0.0521,0.7324,SAVEE
Layer 16,16,0.7271,0.0375,0.7268,SAVEE
Layer 17,17,0.7271,0.0222,0.7243,SAVEE
Layer 18,18,0.7271,0.0232,0.7255,SAVEE
Layer 19,19,0.7229,0.034,0.7189,SAVEE
Layer 20,20,0.7146,0.0169,0.7125,SAVEE
Layer 21,21,0.6938,0.0352,0.6909,SAVEE
Layer 22,22,0.6958,0.0357,0.6927,SAVEE
Layer 23,23,0.675,0.0363,0.6702,SAVEE
Layer 24,24,0.6896,0.052,0.6868,SAVEE
CNN,0,0.8398,0.0156,0.8406,RAVDESS
Layer 1,1,0.8726,0.0119,0.8728,RAVDESS
Layer 2,2,0.8964,0.0139,0.8963,RAVDESS
Layer 3,3,0.9115,0.0192,0.9116,RAVDESS
Layer 4,4,0.9219,0.0172,0.9221,RAVDESS
Layer 5,5,0.9283,0.0205,0.9284,RAVDESS
Layer 6,6,0.9275,0.0168,0.9274,RAVDESS
Layer 7,7,0.9404,0.0145,0.9403,RAVDESS
Layer 8,8,0.9374,0.0186,0.9375,RAVDESS
Layer 9,9,0.9421,0.0177,0.9421,RAVDESS
Layer 10,10,0.9387,0.0143,0.9386,RAVDESS
Layer 11,11,0.9374,0.0174,0.9374,RAVDESS
Layer 12,12,0.9352,0.0183,0.9351,RAVDESS
Layer 13,13,0.9383,0.0142,0.9383,RAVDESS
Layer 14,14,0.9439,0.0181,0.9439,RAVDESS
Layer 15,15,0.9413,0.0142,0.9414,RAVDESS
Layer 16,16,0.943,0.0093,0.9435,RAVDESS
Layer 17,17,0.9404,0.0135,0.9408,RAVDESS
Layer 18,18,0.927,0.0138,0.927,RAVDESS
Layer 19,19,0.9331,0.0173,0.9331,RAVDESS
Layer 20,20,0.9223,0.0166,0.9224,RAVDESS
Layer 21,21,0.9244,0.0166,0.9245,RAVDESS
Layer 22,22,0.9206,0.0092,0.9206,RAVDESS
Layer 23,23,0.9115,0.0125,0.9118,RAVDESS
Layer 24,24,0.9098,0.0112,0.91,RAVDESS
CNN,0,0.8598,0.0251,0.8575,EmoDB
Layer 1,1,0.9121,0.0226,0.9115,EmoDB
Layer 2,2,0.9121,0.0233,0.9105,EmoDB
Layer 3,3,0.9346,0.0205,0.9336,EmoDB
Layer 4,4,0.929,0.0127,0.9285,EmoDB
Layer 5,5,0.9439,0.0156,0.9434,EmoDB
Layer 6,6,0.9607,0.0124,0.9603,EmoDB
Layer 7,7,0.9607,0.0216,0.9599,EmoDB
Layer 8,8,0.9533,0.0118,0.9532,EmoDB
Layer 9,9,0.9495,0.0173,0.949,EmoDB
Layer 10,10,0.9495,0.0226,0.9493,EmoDB
Layer 11,11,0.9551,0.0161,0.9549,EmoDB
Layer 12,12,0.957,0.014,0.9565,EmoDB
Layer 13,13,0.9477,0.0255,0.947,EmoDB
Layer 14,14,0.9458,0.0137,0.9453,EmoDB
Layer 15,15,0.9439,0.0229,0.9431,EmoDB
Layer 16,16,0.9402,0.0152,0.9398,EmoDB
Layer 17,17,0.9495,0.0287,0.949,EmoDB
Layer 18,18,0.9458,0.0342,0.9449,EmoDB
Layer 19,19,0.9383,0.0305,0.9377,EmoDB
Layer 20,20,0.9327,0.0232,0.9325,EmoDB
Layer 21,21,0.9215,0.0316,0.9204,EmoDB
Layer 22,22,0.9159,0.0236,0.915,EmoDB
Layer 23,23,0.9009,0.0316,0.9,EmoDB
Layer 24,24,0.9028,0.0192,0.9021,EmoDB
CNN,0,0.6218,0.0049,0.6215,IEMOCAP
Layer 1,1,0.6421,0.0161,0.6421,IEMOCAP
Layer 2,2,0.6522,0.0151,0.6519,IEMOCAP
Layer 3,3,0.648,0.0096,0.6477,IEMOCAP
Layer 4,4,0.6452,0.0083,0.6449,IEMOCAP
Layer 5,5,0.6496,0.0083,0.6496,IEMOCAP
Layer 6,6,0.6484,0.0156,0.648,IEMOCAP
Layer 7,7,0.6452,0.007,0.6451,IEMOCAP
Layer 8,8,0.6436,0.0142,0.6433,IEMOCAP
Layer 9,9,0.6504,0.0108,0.65,IEMOCAP
Layer 10,10,0.635,0.0107,0.635,IEMOCAP
Layer 11,11,0.6266,0.0083,0.6261,IEMOCAP
Layer 12,12,0.6278,0.0111,0.6275,IEMOCAP
Layer 13,13,0.6341,0.0085,0.634,IEMOCAP
Layer 14,14,0.6189,0.0093,0.6188,IEMOCAP
Layer 15,15,0.6253,0.0182,0.6251,IEMOCAP
Layer 16,16,0.6251,0.0127,0.625,IEMOCAP
Layer 17,17,0.6229,0.0069,0.6227,IEMOCAP
Layer 18,18,0.6084,0.0099,0.6081,IEMOCAP
Layer 19,19,0.6081,0.0177,0.6078,IEMOCAP
Layer 20,20,0.604,0.0074,0.6036,IEMOCAP
Layer 21,21,0.606,0.0128,0.6056,IEMOCAP
Layer 22,22,0.5908,0.0186,0.5905,IEMOCAP
Layer 23,23,0.6007,0.0062,0.6003,IEMOCAP
Layer 24,24,0.6022,0.018,0.6019,IEMOCAP
CNN,0,0.6008,0.0022,0.578,MSP-Podcast
Layer 1,1,0.5995,0.0068,0.5862,MSP-Podcast
Layer 2,2,0.5902,0.0027,0.5808,MSP-Podcast
Layer 3,3,0.5897,0.0086,0.582,MSP-Podcast
Layer 4,4,0.5889,0.0075,0.5833,MSP-Podcast
Layer 5,5,0.595,0.0074,0.5908,MSP-Podcast
Layer 6,6,0.5936,0.005,0.5902,MSP-Podcast
Layer 7,7,0.5888,0.006,0.5851,MSP-Podcast
Layer 8,8,0.5947,0.0107,0.5914,MSP-Podcast
Layer 9,9,0.5899,0.0081,0.5862,MSP-Podcast
Layer 10,10,0.59,0.0068,0.5867,MSP-Podcast
Layer 11,11,0.5867,0.0121,0.5834,MSP-Podcast
Layer 12,12,0.5846,0.0055,0.5813,MSP-Podcast
Layer 13,13,0.5855,0.0046,0.5817,MSP-Podcast
Layer 14,14,0.5818,0.0056,0.5777,MSP-Podcast
Layer 15,15,0.5839,0.0054,0.5804,MSP-Podcast
Layer 16,16,0.5814,0.0056,0.5776,MSP-Podcast
Layer 17,17,0.5802,0.0052,0.5766,MSP-Podcast
Layer 18,18,0.5775,0.0067,0.5739,MSP-Podcast
Layer 19,19,0.5724,0.0073,0.5693,MSP-Podcast
Layer 20,20,0.5762,0.008,0.5728,MSP-Podcast
Layer 21,21,0.575,0.0042,0.5714,MSP-Podcast
Layer 22,22,0.5813,0.0068,0.5778,MSP-Podcast
Layer 23,23,0.5806,0.007,0.5762,MSP-Podcast
Layer 24,24,0.5803,0.0079,0.5752,MSP-Podcast
CNN,0,0.6659,0.0273,0.6647,MESD
Layer 1,1,0.7622,0.0191,0.761,MESD
Layer 2,2,0.8179,0.0305,0.8167,MESD
Layer 3,3,0.8411,0.0214,0.8409,MESD
Layer 4,4,0.8399,0.0168,0.8394,MESD
Layer 5,5,0.8573,0.0306,0.8574,MESD
Layer 6,6,0.8492,0.0181,0.8489,MESD
Layer 7,7,0.8689,0.0264,0.8686,MESD
Layer 8,8,0.8562,0.0256,0.8564,MESD
Layer 9,9,0.84,0.03,0.8397,MESD
Layer 10,10,0.8353,0.0262,0.8352,MESD
Layer 11,11,0.8237,0.0232,0.8241,MESD
Layer 12,12,0.8249,0.0293,0.8249,MESD
Layer 13,13,0.8365,0.0261,0.8357,MESD
Layer 14,14,0.8249,0.0285,0.824,MESD
Layer 15,15,0.8399,0.0168,0.8391,MESD
Layer 16,16,0.8156,0.0152,0.8149,MESD
Layer 17,17,0.8016,0.023,0.8,MESD
Layer 18,18,0.8132,0.0118,0.8131,MESD
Layer 19,19,0.7912,0.0292,0.7899,MESD
Layer 20,20,0.7993,0.0203,0.7983,MESD
Layer 21,21,0.8074,0.0239,0.8072,MESD
Layer 22,22,0.8039,0.0206,0.8029,MESD
Layer 23,23,0.7866,0.0142,0.7859,MESD
Layer 24,24,0.7923,0.0094,0.7916,MESD
