Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Dataset
CNN,0,0.6198,0.0092,0.5965,MSP-Podcast
Layer 1,1,0.6166,0.0082,0.6058,MSP-Podcast
Layer 2,2,0.6009,0.0046,0.5936,MSP-Podcast
Layer 3,3,0.6061,0.0016,0.6014,MSP-Podcast
Layer 4,4,0.6014,0.0054,0.5982,MSP-Podcast
Layer 5,5,0.5988,0.0032,0.5955,MSP-Podcast
Layer 6,6,0.6037,0.0136,0.6011,MSP-Podcast
Layer 7,7,0.6055,0.0054,0.6029,MSP-Podcast
Layer 8,8,0.6053,0.0051,0.6028,MSP-Podcast
Layer 9,9,0.6057,0.0087,0.6041,MSP-Podcast
Layer 10,10,0.6078,0.0026,0.6055,MSP-Podcast
Layer 11,11,0.6085,0.0073,0.6067,MSP-Podcast
Layer 12,12,0.6107,0.0052,0.6085,MSP-Podcast
Layer 13,13,0.6141,0.0129,0.6124,MSP-Podcast
Layer 14,14,0.6137,0.0148,0.612,MSP-Podcast
Layer 15,15,0.615,0.0059,0.6141,MSP-Podcast
Layer 16,16,0.6172,0.0051,0.617,MSP-Podcast
Layer 17,17,0.6267,0.0094,0.627,MSP-Podcast
Layer 18,18,0.6255,0.0052,0.6258,MSP-Podcast
Layer 19,19,0.6222,0.0107,0.6226,MSP-Podcast
Layer 20,20,0.6232,0.0101,0.6239,MSP-Podcast
Layer 21,21,0.6175,0.0057,0.6181,MSP-Podcast
Layer 22,22,0.6298,0.0073,0.6286,MSP-Podcast
Layer 23,23,0.6149,0.0042,0.6139,MSP-Podcast
Layer 24,24,0.6135,0.0087,0.6123,MSP-Podcast
CNN,0,0.8592,0.0172,0.8596,RAVDESS
Layer 1,1,0.9296,0.0149,0.9296,RAVDESS
Layer 2,2,0.9335,0.01,0.9335,RAVDESS
Layer 3,3,0.9499,0.0091,0.9502,RAVDESS
Layer 4,4,0.9529,0.0129,0.9529,RAVDESS
Layer 5,5,0.9542,0.0139,0.9542,RAVDESS
Layer 6,6,0.9607,0.0112,0.9608,RAVDESS
Layer 7,7,0.9616,0.0099,0.9616,RAVDESS
Layer 8,8,0.9603,0.0093,0.9603,RAVDESS
Layer 9,9,0.9663,0.0113,0.9663,RAVDESS
Layer 10,10,0.9702,0.0044,0.9702,RAVDESS
Layer 11,11,0.9663,0.0062,0.9664,RAVDESS
Layer 12,12,0.9698,0.0088,0.9699,RAVDESS
Layer 13,13,0.9693,0.0105,0.9694,RAVDESS
Layer 14,14,0.9672,0.0126,0.9673,RAVDESS
Layer 15,15,0.9672,0.0141,0.9673,RAVDESS
Layer 16,16,0.9655,0.0133,0.9656,RAVDESS
Layer 17,17,0.962,0.0129,0.9621,RAVDESS
Layer 18,18,0.9559,0.0137,0.9561,RAVDESS
Layer 19,19,0.962,0.0082,0.962,RAVDESS
Layer 20,20,0.9568,0.0134,0.9569,RAVDESS
Layer 21,21,0.9555,0.0082,0.9556,RAVDESS
Layer 22,22,0.956,0.0112,0.956,RAVDESS
Layer 23,23,0.9482,0.0113,0.9481,RAVDESS
Layer 24,24,0.946,0.0147,0.9462,RAVDESS
CNN,0,0.8129,0.0086,0.8129,AESDD
Layer 1,1,0.8626,0.0185,0.8623,AESDD
Layer 2,2,0.8758,0.012,0.8755,AESDD
Layer 3,3,0.899,0.013,0.8989,AESDD
Layer 4,4,0.9189,0.0034,0.9185,AESDD
Layer 5,5,0.9255,0.0158,0.9253,AESDD
Layer 6,6,0.9454,0.0154,0.9451,AESDD
Layer 7,7,0.947,0.0186,0.9468,AESDD
Layer 8,8,0.9404,0.016,0.9398,AESDD
Layer 9,9,0.9504,0.0173,0.9502,AESDD
Layer 10,10,0.9421,0.0215,0.9417,AESDD
Layer 11,11,0.9421,0.0117,0.9417,AESDD
Layer 12,12,0.9338,0.0173,0.9335,AESDD
Layer 13,13,0.9222,0.0219,0.9216,AESDD
Layer 14,14,0.9321,0.0252,0.9317,AESDD
Layer 15,15,0.9255,0.025,0.9254,AESDD
Layer 16,16,0.9239,0.0247,0.9237,AESDD
Layer 17,17,0.909,0.0321,0.9089,AESDD
Layer 18,18,0.914,0.0298,0.9139,AESDD
Layer 19,19,0.9023,0.0273,0.9026,AESDD
Layer 20,20,0.9073,0.0225,0.9072,AESDD
