Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Dataset
CNN,0,0.8312,0.0258,0.8307,RAVDESS
Layer 1,1,0.8964,0.0243,0.8965,RAVDESS
Layer 2,2,0.924,0.011,0.924,RAVDESS
Layer 3,3,0.927,0.0109,0.9271,RAVDESS
Layer 4,4,0.9452,0.0097,0.9452,RAVDESS
Layer 5,5,0.9564,0.0069,0.9563,RAVDESS
Layer 6,6,0.9642,0.0095,0.9642,RAVDESS
Layer 7,7,0.9629,0.0134,0.9629,RAVDESS
Layer 8,8,0.962,0.0065,0.9621,RAVDESS
Layer 9,9,0.965,0.0066,0.9652,RAVDESS
Layer 10,10,0.9706,0.0103,0.9707,RAVDESS
Layer 11,11,0.9663,0.0088,0.9664,RAVDESS
Layer 12,12,0.9685,0.0074,0.9686,RAVDESS
Layer 13,13,0.9672,0.0092,0.9672,RAVDESS
Layer 14,14,0.9685,0.0074,0.9685,RAVDESS
Layer 15,15,0.9646,0.0093,0.9646,RAVDESS
Layer 16,16,0.9685,0.0072,0.9685,RAVDESS
Layer 17,17,0.9728,0.0082,0.9728,RAVDESS
Layer 18,18,0.975,0.0071,0.975,RAVDESS
Layer 19,19,0.9668,0.0054,0.9668,RAVDESS
Layer 20,20,0.968,0.0077,0.9681,RAVDESS
Layer 21,21,0.968,0.0078,0.968,RAVDESS
Layer 22,22,0.9668,0.0032,0.9668,RAVDESS
Layer 23,23,0.9624,0.0052,0.9624,RAVDESS
Layer 24,24,0.9637,0.0057,0.9638,RAVDESS
CNN,0,0.7889,0.0263,0.7888,MESD
Layer 1,1,0.7344,0.0473,0.7326,MESD
Layer 2,2,0.8028,0.0209,0.8029,MESD
Layer 3,3,0.8295,0.0265,0.8298,MESD
Layer 4,4,0.8539,0.0228,0.8543,MESD
Layer 5,5,0.8713,0.0228,0.871,MESD
Layer 6,6,0.8863,0.0201,0.8861,MESD
Layer 7,7,0.8887,0.0222,0.8881,MESD
Layer 8,8,0.8736,0.0247,0.8738,MESD
Layer 9,9,0.8979,0.017,0.8977,MESD
Layer 10,10,0.8887,0.0142,0.8888,MESD
Layer 11,11,0.8817,0.0107,0.8815,MESD
Layer 12,12,0.8677,0.017,0.8674,MESD
Layer 13,13,0.8492,0.0296,0.8487,MESD
Layer 14,14,0.8237,0.0196,0.8222,MESD
Layer 15,15,0.8132,0.0166,0.8128,MESD
Layer 16,16,0.8167,0.0186,0.8161,MESD
Layer 17,17,0.819,0.0081,0.8196,MESD
Layer 18,18,0.8295,0.0121,0.83,MESD
Layer 19,19,0.8423,0.0155,0.8429,MESD
Layer 20,20,0.8423,0.0159,0.8426,MESD
Layer 21,21,0.833,0.0226,0.8328,MESD
Layer 22,22,0.8307,0.0206,0.8297,MESD
Layer 23,23,0.8202,0.0292,0.8189,MESD
Layer 24,24,0.8167,0.0256,0.8155,MESD
CNN,0,0.665,0.0086,0.6644,IEMOCAP
Layer 1,1,0.6778,0.0128,0.6774,IEMOCAP
Layer 2,2,0.67,0.0074,0.6698,IEMOCAP
Layer 3,3,0.6683,0.0073,0.6681,IEMOCAP
Layer 4,4,0.6751,0.0112,0.675,IEMOCAP
Layer 5,5,0.6833,0.0093,0.6831,IEMOCAP
Layer 6,6,0.6824,0.0091,0.6823,IEMOCAP
Layer 7,7,0.6832,0.0073,0.683,IEMOCAP
Layer 8,8,0.687,0.0125,0.6869,IEMOCAP
Layer 9,9,0.6875,0.0099,0.6875,IEMOCAP
Layer 10,10,0.6908,0.0117,0.6908,IEMOCAP
Layer 11,11,0.6925,0.0168,0.6923,IEMOCAP
Layer 12,12,0.6916,0.0131,0.6918,IEMOCAP
Layer 13,13,0.691,0.0171,0.6909,IEMOCAP
Layer 14,14,0.6932,0.0222,0.6931,IEMOCAP
Layer 15,15,0.6877,0.0195,0.6877,IEMOCAP
Layer 16,16,0.6908,0.024,0.6905,IEMOCAP
Layer 17,17,0.6951,0.0187,0.695,IEMOCAP
Layer 18,18,0.6899,0.0091,0.6898,IEMOCAP
Layer 19,19,0.6923,0.0152,0.6923,IEMOCAP
Layer 20,20,0.7002,0.0095,0.6999,IEMOCAP
Layer 21,21,0.6974,0.0075,0.6974,IEMOCAP
Layer 22,22,0.6936,0.0094,0.6935,IEMOCAP
Layer 23,23,0.6985,0.0054,0.6985,IEMOCAP
Layer 24,24,0.696,0.0101,0.6961,IEMOCAP
CNN,0,0.6279,0.0055,0.6042,MSP-Podcast
Layer 1,1,0.6187,0.0064,0.6019,MSP-Podcast
Layer 2,2,0.6132,0.0053,0.601,MSP-Podcast
Layer 3,3,0.6091,0.0091,0.6005,MSP-Podcast
Layer 4,4,0.6126,0.0047,0.6062,MSP-Podcast
Layer 5,5,0.6102,0.006,0.6049,MSP-Podcast
Layer 6,6,0.6031,0.0083,0.5999,MSP-Podcast
Layer 7,7,0.6065,0.0056,0.6037,MSP-Podcast
Layer 8,8,0.6122,0.0023,0.6079,MSP-Podcast
Layer 9,9,0.6091,0.0063,0.6058,MSP-Podcast
Layer 10,10,0.6082,0.0044,0.6051,MSP-Podcast
Layer 11,11,0.6047,0.0062,0.6025,MSP-Podcast
Layer 12,12,0.6145,0.0051,0.6131,MSP-Podcast
Layer 13,13,0.6098,0.0019,0.6083,MSP-Podcast
Layer 14,14,0.6119,0.0066,0.6113,MSP-Podcast
Layer 15,15,0.6087,0.0028,0.6083,MSP-Podcast
Layer 16,16,0.6132,0.0048,0.6132,MSP-Podcast
Layer 17,17,0.6108,0.0054,0.6116,MSP-Podcast
Layer 18,18,0.6089,0.0048,0.61,MSP-Podcast
Layer 19,19,0.6088,0.0064,0.6109,MSP-Podcast
Layer 20,20,0.6197,0.0124,0.6211,MSP-Podcast
Layer 21,21,0.6221,0.0106,0.6238,MSP-Podcast
Layer 22,22,0.6283,0.009,0.6288,MSP-Podcast
Layer 23,23,0.6316,0.0039,0.6323,MSP-Podcast
Layer 24,24,0.6297,0.0118,0.632,MSP-Podcast
CNN,0,0.8841,0.0255,0.8812,EmoDB
Layer 1,1,0.8598,0.0313,0.8578,EmoDB
Layer 2,2,0.9065,0.0244,0.9052,EmoDB
Layer 3,3,0.9421,0.0239,0.9415,EmoDB
Layer 4,4,0.9645,0.0181,0.9644,EmoDB
Layer 5,5,0.9738,0.0109,0.9736,EmoDB
Layer 6,6,0.972,0.0102,0.9719,EmoDB
Layer 7,7,0.9757,0.0127,0.9755,EmoDB
Layer 8,8,0.9701,0.0092,0.9702,EmoDB
Layer 9,9,0.9813,0.0059,0.9814,EmoDB
Layer 10,10,0.9794,0.007,0.9795,EmoDB
Layer 11,11,0.9813,0.0059,0.9811,EmoDB
Layer 12,12,0.9832,0.0124,0.9831,EmoDB
Layer 13,13,0.985,0.0127,0.985,EmoDB
Layer 14,14,0.9794,0.007,0.9793,EmoDB
Layer 15,15,0.9869,0.0075,0.9869,EmoDB
Layer 16,16,0.9813,0.0102,0.9811,EmoDB
Layer 17,17,0.9794,0.0109,0.9793,EmoDB
Layer 18,18,0.9832,0.007,0.9829,EmoDB
Layer 19,19,0.972,0.0084,0.9718,EmoDB
Layer 20,20,0.9813,0.0102,0.9813,EmoDB
Layer 21,21,0.9757,0.0127,0.9758,EmoDB
Layer 22,22,0.9645,0.0092,0.9642,EmoDB
Layer 23,23,0.9682,0.0127,0.9679,EmoDB
Layer 24,24,0.9607,0.0181,0.9605,EmoDB
CNN,0,0.7771,0.0193,0.7761,SAVEE
Layer 1,1,0.6979,0.0336,0.695,SAVEE
Layer 2,2,0.7708,0.0114,0.7696,SAVEE
Layer 3,3,0.8146,0.0267,0.8127,SAVEE
Layer 4,4,0.8479,0.0364,0.845,SAVEE
Layer 5,5,0.8583,0.0352,0.8574,SAVEE
Layer 6,6,0.875,0.0228,0.8743,SAVEE
Layer 7,7,0.8917,0.0252,0.8908,SAVEE
Layer 8,8,0.8833,0.0202,0.8829,SAVEE
Layer 9,9,0.8979,0.0179,0.897,SAVEE
Layer 10,10,0.8771,0.0167,0.876,SAVEE
Layer 11,11,0.8562,0.0202,0.8533,SAVEE
Layer 12,12,0.8396,0.0106,0.8374,SAVEE
Layer 13,13,0.8188,0.0299,0.8171,SAVEE
Layer 14,14,0.8292,0.0252,0.8273,SAVEE
Layer 15,15,0.8229,0.0272,0.821,SAVEE
Layer 16,16,0.8479,0.0193,0.8467,SAVEE
Layer 17,17,0.8375,0.034,0.8371,SAVEE
Layer 18,18,0.8458,0.029,0.8454,SAVEE
Layer 19,19,0.8458,0.0319,0.8454,SAVEE
Layer 20,20,0.85,0.0376,0.8501,SAVEE
Layer 21,21,0.8708,0.0409,0.8702,SAVEE
Layer 22,22,0.8729,0.0267,0.8726,SAVEE
