Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Dataset
CNN,0,0.3201,0.0358,0.3164,MESD
Layer 1,1,0.6984,0.0235,0.6971,MESD
Layer 2,2,0.768,0.0037,0.7672,MESD
Layer 3,3,0.8318,0.0242,0.8317,MESD
Layer 4,4,0.8388,0.0256,0.8385,MESD
Layer 5,5,0.8492,0.0276,0.8496,MESD
Layer 6,6,0.8307,0.0242,0.8306,MESD
Layer 7,7,0.8237,0.026,0.8235,MESD
Layer 8,8,0.8087,0.0331,0.8079,MESD
Layer 9,9,0.8214,0.0313,0.8196,MESD
Layer 10,10,0.8283,0.0169,0.8283,MESD
Layer 11,11,0.8039,0.0305,0.8022,MESD
Layer 12,12,0.7761,0.0288,0.7753,MESD
Layer 13,13,0.7761,0.0233,0.7749,MESD
Layer 14,14,0.8063,0.01,0.8059,MESD
Layer 15,15,0.8086,0.0173,0.8083,MESD
Layer 16,16,0.8353,0.0216,0.8353,MESD
Layer 17,17,0.8689,0.0188,0.8687,MESD
Layer 18,18,0.8458,0.0379,0.8466,MESD
Layer 19,19,0.8458,0.0328,0.8449,MESD
Layer 20,20,0.8202,0.0379,0.82,MESD
Layer 21,21,0.7785,0.027,0.777,MESD
Layer 22,22,0.7437,0.0447,0.7427,MESD
Layer 23,23,0.7204,0.0473,0.7204,MESD
Layer 24,24,0.6346,0.0273,0.632,MESD
CNN,0,0.2947,0.0271,0.2949,AESDD
Layer 1,1,0.6424,0.0381,0.6399,AESDD
Layer 2,2,0.7549,0.0241,0.7543,AESDD
Layer 3,3,0.8559,0.0406,0.8551,AESDD
Layer 4,4,0.8874,0.0367,0.8864,AESDD
Layer 5,5,0.8858,0.0246,0.8851,AESDD
Layer 6,6,0.8742,0.0282,0.8734,AESDD
Layer 7,7,0.8759,0.0401,0.8761,AESDD
Layer 8,8,0.856,0.0296,0.8559,AESDD
Layer 9,9,0.9089,0.0196,0.9085,AESDD
Layer 10,10,0.8824,0.0383,0.8813,AESDD
Layer 11,11,0.8659,0.018,0.8649,AESDD
Layer 12,12,0.8328,0.0109,0.8333,AESDD
Layer 13,13,0.841,0.0276,0.8399,AESDD
Layer 14,14,0.8477,0.0292,0.8464,AESDD
Layer 15,15,0.8742,0.0192,0.8736,AESDD
Layer 16,16,0.9238,0.0142,0.9234,AESDD
Layer 17,17,0.947,0.0162,0.9466,AESDD
Layer 18,18,0.9239,0.0224,0.9238,AESDD
Layer 19,19,0.9106,0.0229,0.9107,AESDD
Layer 20,20,0.8825,0.0257,0.8822,AESDD
Layer 21,21,0.8444,0.0216,0.8438,AESDD
Layer 22,22,0.7915,0.0319,0.7899,AESDD
Layer 23,23,0.7434,0.0431,0.7433,AESDD
Layer 24,24,0.6242,0.0374,0.6233,AESDD
CNN,0,0.3021,0.0422,0.3049,SAVEE
Layer 1,1,0.675,0.0486,0.6713,SAVEE
Layer 2,2,0.7333,0.0268,0.7305,SAVEE
Layer 3,3,0.7688,0.0472,0.7679,SAVEE
Layer 4,4,0.7917,0.0316,0.7916,SAVEE
Layer 5,5,0.7729,0.0351,0.7696,SAVEE
Layer 6,6,0.7896,0.0298,0.7856,SAVEE
Layer 7,7,0.7792,0.0138,0.78,SAVEE
Layer 8,8,0.7479,0.0259,0.7472,SAVEE
Layer 9,9,0.8083,0.0106,0.8068,SAVEE
Layer 10,10,0.8167,0.0193,0.8177,SAVEE
Layer 11,11,0.8062,0.026,0.8058,SAVEE
Layer 12,12,0.7958,0.0214,0.7951,SAVEE
Layer 13,13,0.7979,0.0214,0.7973,SAVEE
Layer 14,14,0.7938,0.0179,0.7905,SAVEE
Layer 15,15,0.775,0.0284,0.774,SAVEE
Layer 16,16,0.8292,0.0193,0.829,SAVEE
Layer 17,17,0.8292,0.0276,0.829,SAVEE
Layer 18,18,0.8167,0.026,0.8153,SAVEE
Layer 19,19,0.7979,0.0243,0.7955,SAVEE
Layer 20,20,0.7958,0.0141,0.7941,SAVEE
Layer 21,21,0.7688,0.0222,0.7668,SAVEE
Layer 22,22,0.7229,0.0252,0.7232,SAVEE
Layer 23,23,0.6854,0.0202,0.683,SAVEE
Layer 24,24,0.6021,0.0325,0.5982,SAVEE
CNN,0,0.3519,0.0155,0.3507,RAVDESS
Layer 1,1,0.8761,0.0165,0.8763,RAVDESS
Layer 2,2,0.924,0.0148,0.9244,RAVDESS
Layer 3,3,0.9417,0.0162,0.9419,RAVDESS
Layer 4,4,0.9573,0.0082,0.9573,RAVDESS
Layer 5,5,0.9495,0.0131,0.9496,RAVDESS
Layer 6,6,0.9547,0.0124,0.9549,RAVDESS
Layer 7,7,0.9568,0.0148,0.9569,RAVDESS
Layer 8,8,0.9413,0.0126,0.9412,RAVDESS
Layer 9,9,0.9503,0.0116,0.9504,RAVDESS
Layer 10,10,0.9568,0.0133,0.9569,RAVDESS
Layer 11,11,0.9478,0.0145,0.9478,RAVDESS
Layer 12,12,0.9443,0.015,0.9444,RAVDESS
Layer 13,13,0.9447,0.0108,0.9451,RAVDESS
Layer 14,14,0.9486,0.0153,0.9486,RAVDESS
Layer 15,15,0.9503,0.0072,0.9505,RAVDESS
Layer 16,16,0.962,0.0071,0.962,RAVDESS
Layer 17,17,0.9655,0.0064,0.9655,RAVDESS
Layer 18,18,0.9611,0.0101,0.9612,RAVDESS
Layer 19,19,0.9516,0.01,0.9518,RAVDESS
Layer 20,20,0.9529,0.0112,0.9531,RAVDESS
Layer 21,21,0.9391,0.008,0.9393,RAVDESS
Layer 22,22,0.9201,0.0102,0.9205,RAVDESS
Layer 23,23,0.9162,0.0097,0.9167,RAVDESS
Layer 24,24,0.8847,0.0128,0.8849,RAVDESS
CNN,0,0.4822,0.0348,0.4808,EmoDB
Layer 1,1,0.8523,0.0171,0.8506,EmoDB
Layer 2,2,0.9252,0.0132,0.9247,EmoDB
Layer 3,3,0.9589,0.014,0.9581,EmoDB
Layer 4,4,0.9664,0.0095,0.9661,EmoDB
Layer 5,5,0.9495,0.0173,0.9491,EmoDB
Layer 6,6,0.9421,0.028,0.9419,EmoDB
Layer 7,7,0.9533,0.0156,0.9522,EmoDB
Layer 8,8,0.9383,0.0152,0.9382,EmoDB
Layer 9,9,0.9626,0.0205,0.962,EmoDB
Layer 10,10,0.9458,0.0181,0.9452,EmoDB
Layer 11,11,0.929,0.014,0.9285,EmoDB
Layer 12,12,0.929,0.0127,0.9284,EmoDB
Layer 13,13,0.9308,0.0163,0.9297,EmoDB
Layer 14,14,0.9551,0.0137,0.9546,EmoDB
Layer 15,15,0.957,0.014,0.9565,EmoDB
Layer 16,16,0.9738,0.0171,0.9734,EmoDB
Layer 17,17,0.9869,0.0095,0.9868,EmoDB
Layer 18,18,0.9682,0.0095,0.9678,EmoDB
Layer 19,19,0.9701,0.0109,0.9699,EmoDB
Layer 20,20,0.9701,0.015,0.97,EmoDB
Layer 21,21,0.9495,0.0218,0.9494,EmoDB
Layer 22,22,0.9159,0.0426,0.9157,EmoDB
Layer 23,23,0.9103,0.0412,0.91,EmoDB
Layer 24,24,0.843,0.0463,0.8414,EmoDB
CNN,0,0.5142,0.0027,0.4526,MSP-Podcast
Layer 1,1,0.5722,0.0044,0.564,MSP-Podcast
Layer 2,2,0.5932,0.0038,0.5854,MSP-Podcast
Layer 3,3,0.5941,0.0061,0.5899,MSP-Podcast
Layer 4,4,0.6013,0.0042,0.5973,MSP-Podcast
Layer 5,5,0.6064,0.0072,0.6022,MSP-Podcast
Layer 6,6,0.6042,0.0076,0.5996,MSP-Podcast
Layer 7,7,0.6083,0.0093,0.6028,MSP-Podcast
Layer 8,8,0.5978,0.0036,0.5925,MSP-Podcast
Layer 9,9,0.6104,0.0111,0.6049,MSP-Podcast
Layer 10,10,0.6099,0.0066,0.6055,MSP-Podcast
Layer 11,11,0.6025,0.0129,0.5998,MSP-Podcast
Layer 12,12,0.6088,0.0054,0.6078,MSP-Podcast
Layer 13,13,0.6152,0.0073,0.6142,MSP-Podcast
Layer 14,14,0.6181,0.0129,0.6158,MSP-Podcast
Layer 15,15,0.6115,0.0086,0.6082,MSP-Podcast
Layer 16,16,0.611,0.0071,0.6088,MSP-Podcast
Layer 17,17,0.6112,0.0094,0.6087,MSP-Podcast
Layer 18,18,0.6064,0.0076,0.603,MSP-Podcast
Layer 19,19,0.6027,0.005,0.5996,MSP-Podcast
Layer 20,20,0.6024,0.0087,0.5992,MSP-Podcast
Layer 21,21,0.6001,0.0106,0.5959,MSP-Podcast
Layer 22,22,0.5929,0.0034,0.5888,MSP-Podcast
Layer 23,23,0.5862,0.0068,0.5806,MSP-Podcast
Layer 24,24,0.5809,0.0094,0.5733,MSP-Podcast
CNN,0,0.4172,0.0053,0.4158,IEMOCAP
Layer 1,1,0.58,0.0113,0.5801,IEMOCAP
Layer 2,2,0.5929,0.0194,0.5926,IEMOCAP
Layer 3,3,0.6299,0.0131,0.6297,IEMOCAP
Layer 4,4,0.6319,0.011,0.6316,IEMOCAP
Layer 5,5,0.6352,0.0098,0.6348,IEMOCAP
Layer 6,6,0.6463,0.0149,0.6465,IEMOCAP
Layer 7,7,0.6432,0.0092,0.6433,IEMOCAP
Layer 8,8,0.6359,0.0132,0.6354,IEMOCAP
Layer 9,9,0.6577,0.0107,0.6575,IEMOCAP
Layer 10,10,0.6531,0.0142,0.6529,IEMOCAP
Layer 11,11,0.6401,0.0087,0.64,IEMOCAP
