Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Dataset
CNN,0,0.7472,0.027,0.7464,MESD
Layer 1,1,0.7785,0.0218,0.7778,MESD
Layer 2,2,0.8063,0.0136,0.8055,MESD
Layer 3,3,0.819,0.0102,0.817,MESD
Layer 4,4,0.8469,0.0126,0.8447,MESD
Layer 5,5,0.8608,0.0144,0.8599,MESD
Layer 6,6,0.8423,0.0158,0.8414,MESD
Layer 7,7,0.8596,0.0198,0.8595,MESD
Layer 8,8,0.8306,0.0127,0.829,MESD
Layer 9,9,0.7888,0.0307,0.7874,MESD
Layer 10,10,0.7587,0.0412,0.7585,MESD
Layer 11,11,0.7134,0.0366,0.7125,MESD
Layer 12,12,0.6601,0.0262,0.6581,MESD
Layer 13,13,0.6346,0.0126,0.634,MESD
Layer 14,14,0.5974,0.0128,0.597,MESD
Layer 15,15,0.5917,0.0115,0.5913,MESD
Layer 16,16,0.594,0.047,0.5917,MESD
Layer 17,17,0.5511,0.0218,0.5507,MESD
Layer 18,18,0.537,0.0466,0.5349,MESD
Layer 19,19,0.5128,0.0312,0.512,MESD
Layer 20,20,0.4698,0.0283,0.4696,MESD
Layer 21,21,0.4164,0.0251,0.417,MESD
Layer 22,22,0.3793,0.032,0.3773,MESD
Layer 23,23,0.3608,0.0121,0.3614,MESD
Layer 24,24,0.3132,0.0032,0.3106,MESD
CNN,0,0.6394,0.015,0.6391,IEMOCAP
Layer 1,1,0.6337,0.0123,0.6337,IEMOCAP
Layer 2,2,0.6297,0.0188,0.6296,IEMOCAP
Layer 3,3,0.6282,0.0083,0.6282,IEMOCAP
Layer 4,4,0.6368,0.0101,0.6366,IEMOCAP
Layer 5,5,0.6317,0.0211,0.6315,IEMOCAP
Layer 6,6,0.6377,0.0107,0.6374,IEMOCAP
Layer 7,7,0.6214,0.0117,0.621,IEMOCAP
Layer 8,8,0.6416,0.0105,0.6412,IEMOCAP
Layer 9,9,0.6379,0.0175,0.6378,IEMOCAP
Layer 10,10,0.6278,0.0119,0.6275,IEMOCAP
Layer 11,11,0.6212,0.0131,0.621,IEMOCAP
Layer 12,12,0.6179,0.0081,0.6174,IEMOCAP
Layer 13,13,0.6101,0.0112,0.6097,IEMOCAP
Layer 14,14,0.6029,0.0077,0.6028,IEMOCAP
Layer 15,15,0.6132,0.0162,0.6128,IEMOCAP
Layer 16,16,0.6104,0.0191,0.6102,IEMOCAP
Layer 17,17,0.609,0.0142,0.6088,IEMOCAP
Layer 18,18,0.6126,0.0188,0.6127,IEMOCAP
Layer 19,19,0.6158,0.0206,0.6156,IEMOCAP
Layer 20,20,0.6007,0.0121,0.6005,IEMOCAP
Layer 21,21,0.6004,0.0145,0.5999,IEMOCAP
Layer 22,22,0.5799,0.0164,0.5791,IEMOCAP
Layer 23,23,0.5462,0.0114,0.5456,IEMOCAP
Layer 24,24,0.5004,0.0145,0.4997,IEMOCAP
CNN,0,0.8817,0.02,0.8815,RAVDESS
Layer 1,1,0.9089,0.0151,0.9092,RAVDESS
Layer 2,2,0.9231,0.0149,0.9233,RAVDESS
Layer 3,3,0.9365,0.0073,0.9367,RAVDESS
Layer 4,4,0.9516,0.0052,0.9517,RAVDESS
Layer 5,5,0.9534,0.0085,0.9534,RAVDESS
Layer 6,6,0.9555,0.0153,0.9554,RAVDESS
Layer 7,7,0.9521,0.0172,0.9519,RAVDESS
Layer 8,8,0.9577,0.011,0.9578,RAVDESS
Layer 9,9,0.9478,0.0032,0.9479,RAVDESS
Layer 10,10,0.9499,0.0101,0.9499,RAVDESS
Layer 11,11,0.9521,0.0139,0.9521,RAVDESS
Layer 12,12,0.9491,0.0124,0.9492,RAVDESS
Layer 13,13,0.9491,0.0156,0.9493,RAVDESS
Layer 14,14,0.9499,0.0124,0.9501,RAVDESS
Layer 15,15,0.9452,0.0156,0.9454,RAVDESS
Layer 16,16,0.937,0.0082,0.9371,RAVDESS
Layer 17,17,0.9383,0.014,0.9384,RAVDESS
Layer 18,18,0.9326,0.0081,0.9328,RAVDESS
Layer 19,19,0.9262,0.0177,0.9265,RAVDESS
Layer 20,20,0.9205,0.0141,0.9207,RAVDESS
Layer 21,21,0.9132,0.0107,0.913,RAVDESS
Layer 22,22,0.8972,0.0082,0.8972,RAVDESS
Layer 23,23,0.87,0.0152,0.8701,RAVDESS
Layer 24,24,0.8329,0.0091,0.8329,RAVDESS
CNN,0,0.6812,0.0299,0.6761,SAVEE
Layer 1,1,0.7271,0.0298,0.7256,SAVEE
Layer 2,2,0.7458,0.0376,0.7419,SAVEE
Layer 3,3,0.7583,0.0414,0.7545,SAVEE
Layer 4,4,0.7896,0.0275,0.7845,SAVEE
Layer 5,5,0.7917,0.0174,0.7885,SAVEE
Layer 6,6,0.8021,0.0174,0.7998,SAVEE
Layer 7,7,0.8188,0.0313,0.8178,SAVEE
Layer 8,8,0.8167,0.0156,0.8153,SAVEE
Layer 9,9,0.8375,0.0234,0.8356,SAVEE
Layer 10,10,0.8375,0.0404,0.8355,SAVEE
Layer 11,11,0.8292,0.0284,0.8274,SAVEE
Layer 12,12,0.8542,0.0114,0.8537,SAVEE
Layer 13,13,0.8583,0.0169,0.857,SAVEE
Layer 14,14,0.8583,0.0234,0.8575,SAVEE
Layer 15,15,0.8354,0.0332,0.8358,SAVEE
Layer 16,16,0.8417,0.0212,0.8413,SAVEE
Layer 17,17,0.825,0.0363,0.8258,SAVEE
Layer 18,18,0.7917,0.0342,0.7899,SAVEE
Layer 19,19,0.7938,0.0259,0.7932,SAVEE
Layer 20,20,0.7688,0.0202,0.7661,SAVEE
Layer 21,21,0.7458,0.0234,0.7443,SAVEE
Layer 22,22,0.7375,0.029,0.7322,SAVEE
Layer 23,23,0.6604,0.0224,0.6568,SAVEE
Layer 24,24,0.5292,0.0241,0.5268,SAVEE
