Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.8013,0.0135,0.8008
Layer 1,1,0.8444,0.0119,0.844
Layer 2,2,0.894,0.0243,0.8943
Layer 3,3,0.9338,0.0157,0.9338
Layer 4,4,0.9354,0.0121,0.9356
Layer 5,5,0.9437,0.0224,0.9439
Layer 6,6,0.9454,0.0178,0.9454
Layer 7,7,0.9487,0.0268,0.9485
Layer 8,8,0.9537,0.0178,0.9532
Layer 9,9,0.9487,0.0191,0.9485
Layer 10,10,0.9586,0.0138,0.9582
Layer 11,11,0.9387,0.0067,0.9386
Layer 12,12,0.9238,0.0134,0.9239
Layer 13,13,0.9122,0.0154,0.9114
Layer 14,14,0.9106,0.0279,0.9102
Layer 15,15,0.9006,0.0359,0.8994
Layer 16,16,0.9006,0.0323,0.8995
Layer 17,17,0.9139,0.0199,0.9135
Layer 18,18,0.9023,0.0224,0.9022
Layer 19,19,0.9007,0.026,0.9003
Layer 20,20,0.899,0.0191,0.8982
Layer 21,21,0.8792,0.0264,0.8785
Layer 22,22,0.9023,0.0199,0.9022
Layer 23,23,0.8974,0.0288,0.8971
Layer 24,24,0.8791,0.0391,0.8788
