Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5679,0.0667,0.5674
Layer 1,1,0.6474,0.0306,0.6442
Layer 2,2,0.7003,0.0318,0.6974
Layer 3,3,0.7201,0.0342,0.7167
Layer 4,4,0.7317,0.0307,0.7267
Layer 5,5,0.7466,0.0209,0.744
Layer 6,6,0.7732,0.0118,0.7723
Layer 7,7,0.7847,0.0177,0.7842
Layer 8,8,0.8029,0.0188,0.8004
Layer 9,9,0.8129,0.0156,0.8121
Layer 10,10,0.846,0.0113,0.8445
Layer 11,11,0.8344,0.0071,0.8339
Layer 12,12,0.808,0.0196,0.8088
Layer 13,13,0.8096,0.0161,0.809
Layer 14,14,0.7931,0.0306,0.7914
Layer 15,15,0.7964,0.0305,0.7979
Layer 16,16,0.7617,0.0331,0.7603
Layer 17,17,0.7633,0.0148,0.7642
Layer 18,18,0.7253,0.0304,0.7247
Layer 19,19,0.7352,0.0286,0.7332
Layer 20,20,0.717,0.0417,0.7148
Layer 21,21,0.7103,0.0277,0.7111
Layer 22,22,0.7219,0.0347,0.7214
Layer 23,23,0.7037,0.0116,0.7034
Layer 24,24,0.697,0.0149,0.6943
