Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.7682,0.0385,0.765
Layer 1,1,0.8692,0.0329,0.8685
Layer 2,2,0.9178,0.007,0.9171
Layer 3,3,0.9495,0.0095,0.9494
Layer 4,4,0.9477,0.0192,0.9477
Layer 5,5,0.9458,0.007,0.9458
Layer 6,6,0.9477,0.0201,0.9478
Layer 7,7,0.9551,0.0171,0.955
Layer 8,8,0.9607,0.015,0.9603
Layer 9,9,0.9682,0.0152,0.968
Layer 10,10,0.9645,0.0109,0.9643
Layer 11,11,0.9682,0.0127,0.9678
Layer 12,12,0.9626,0.0187,0.9621
Layer 13,13,0.957,0.0201,0.9565
Layer 14,14,0.957,0.0192,0.9565
Layer 15,15,0.9551,0.0181,0.9545
Layer 16,16,0.9514,0.0109,0.951
Layer 17,17,0.9551,0.0171,0.9544
Layer 18,18,0.9533,0.0213,0.9525
Layer 19,19,0.9364,0.0254,0.9348
Layer 20,20,0.9327,0.028,0.9319
Layer 21,21,0.9327,0.0331,0.9313
Layer 22,22,0.9421,0.0191,0.9413
Layer 23,23,0.929,0.0248,0.9279
Layer 24,24,0.9159,0.0205,0.9144
