Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5452,0.0065,0.5445
Layer 1,1,0.5592,0.0159,0.5589
Layer 2,2,0.5553,0.0178,0.5551
Layer 3,3,0.5676,0.0074,0.567
Layer 4,4,0.556,0.0075,0.5555
Layer 5,5,0.5549,0.0155,0.5547
Layer 6,6,0.5744,0.02,0.5741
Layer 7,7,0.5791,0.0219,0.5787
Layer 8,8,0.591,0.0093,0.5903
Layer 9,9,0.5861,0.0138,0.586
Layer 10,10,0.5969,0.017,0.5964
Layer 11,11,0.5936,0.0169,0.5931
Layer 12,12,0.5859,0.014,0.5859
Layer 13,13,0.5951,0.0161,0.5948
Layer 14,14,0.5875,0.0223,0.5869
Layer 15,15,0.5905,0.0159,0.5899
Layer 16,16,0.5885,0.0184,0.5877
Layer 17,17,0.5921,0.0134,0.5915
Layer 18,18,0.5916,0.0097,0.591
Layer 19,19,0.5846,0.0134,0.5843
Layer 20,20,0.5822,0.0122,0.5819
Layer 21,21,0.5819,0.0144,0.5812
Layer 22,22,0.5789,0.0062,0.5788
Layer 23,23,0.5853,0.0159,0.5848
Layer 24,24,0.5883,0.0191,0.5877
