Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.7866,0.0107,0.7855
Layer 1,1,0.8074,0.0205,0.8074
Layer 2,2,0.8469,0.03,0.8465
Layer 3,3,0.8492,0.0349,0.8486
Layer 4,4,0.8608,0.0382,0.86
Layer 5,5,0.8678,0.0336,0.867
Layer 6,6,0.8701,0.0249,0.8696
Layer 7,7,0.8701,0.0286,0.8698
Layer 8,8,0.8782,0.0264,0.8784
Layer 9,9,0.8608,0.022,0.8601
Layer 10,10,0.8666,0.0139,0.8662
Layer 11,11,0.8574,0.0228,0.8565
Layer 12,12,0.8516,0.017,0.8507
Layer 13,13,0.8527,0.0221,0.8528
Layer 14,14,0.8249,0.0232,0.8242
Layer 15,15,0.8167,0.0115,0.8155
Layer 16,16,0.7889,0.0313,0.7887
Layer 17,17,0.7692,0.026,0.7689
Layer 18,18,0.7541,0.0194,0.7533
Layer 19,19,0.7088,0.0147,0.7059
Layer 20,20,0.7135,0.0205,0.713
Layer 21,21,0.7088,0.0082,0.7069
Layer 22,22,0.7332,0.0271,0.7324
Layer 23,23,0.7031,0.0239,0.7018
Layer 24,24,0.6682,0.0154,0.667
