Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6265,0.0175,0.624
Layer 1,1,0.6624,0.0374,0.6625
Layer 2,2,0.6891,0.0267,0.6864
Layer 3,3,0.7181,0.0168,0.7154
Layer 4,4,0.7169,0.0142,0.7147
Layer 5,5,0.7019,0.0228,0.701
Layer 6,6,0.7112,0.02,0.7088
Layer 7,7,0.7007,0.0153,0.6998
Layer 8,8,0.6972,0.0237,0.6971
Layer 9,9,0.681,0.0389,0.6796
Layer 10,10,0.6729,0.033,0.6713
Layer 11,11,0.6613,0.0376,0.6589
Layer 12,12,0.6567,0.0459,0.6537
Layer 13,13,0.6463,0.0444,0.644
Layer 14,14,0.6463,0.0389,0.6441
Layer 15,15,0.6358,0.0425,0.6342
Layer 16,16,0.6103,0.052,0.6058
Layer 17,17,0.6033,0.0379,0.5994
Layer 18,18,0.5638,0.0264,0.5595
Layer 19,19,0.5546,0.0193,0.5517
Layer 20,20,0.5488,0.0232,0.5454
Layer 21,21,0.5441,0.0339,0.5433
Layer 22,22,0.5522,0.0337,0.5513
Layer 23,23,0.5233,0.0242,0.5225
Layer 24,24,0.4873,0.0263,0.4833
