Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.3709,0.0123,0.3688
Layer 1,1,0.4447,0.0211,0.4435
Layer 2,2,0.5389,0.0111,0.5394
Layer 3,3,0.5916,0.0249,0.5896
Layer 4,4,0.5911,0.0294,0.5903
Layer 5,5,0.601,0.0194,0.6003
Layer 6,6,0.639,0.026,0.6376
Layer 7,7,0.6434,0.0149,0.6419
Layer 8,8,0.655,0.0126,0.6544
Layer 9,9,0.6537,0.0168,0.6535
Layer 10,10,0.6831,0.0177,0.6829
Layer 11,11,0.7042,0.0145,0.7043
Layer 12,12,0.7047,0.0179,0.7043
Layer 13,13,0.709,0.0195,0.7084
Layer 14,14,0.7168,0.0139,0.7162
Layer 15,15,0.6991,0.0117,0.7002
Layer 16,16,0.6809,0.0165,0.6817
Layer 17,17,0.677,0.0175,0.6767
Layer 18,18,0.668,0.0233,0.6691
Layer 19,19,0.6697,0.0227,0.6701
Layer 20,20,0.6593,0.0195,0.6605
Layer 21,21,0.6572,0.0121,0.6575
Layer 22,22,0.6498,0.0072,0.6497
Layer 23,23,0.6209,0.0149,0.6201
Layer 24,24,0.5985,0.0209,0.5976
