Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.3417,0.0458,0.3375
Layer 1,1,0.3729,0.0424,0.3655
Layer 2,2,0.4167,0.048,0.4097
Layer 3,3,0.4104,0.034,0.4026
Layer 4,4,0.4021,0.0425,0.399
Layer 5,5,0.4604,0.0241,0.4573
Layer 6,6,0.4542,0.0292,0.4481
Layer 7,7,0.4542,0.0513,0.4484
Layer 8,8,0.4667,0.0424,0.4609
Layer 9,9,0.4875,0.0583,0.4808
Layer 10,10,0.4854,0.0382,0.4765
Layer 11,11,0.5083,0.0587,0.5017
Layer 12,12,0.4938,0.0388,0.4856
Layer 13,13,0.5146,0.0599,0.5066
Layer 14,14,0.5021,0.0657,0.4956
Layer 15,15,0.5229,0.0463,0.5141
Layer 16,16,0.5063,0.0641,0.5
Layer 17,17,0.5,0.0586,0.4936
Layer 18,18,0.4875,0.0732,0.4812
Layer 19,19,0.5,0.0571,0.4906
Layer 20,20,0.4667,0.0602,0.4574
Layer 21,21,0.5,0.0694,0.4927
Layer 22,22,0.4958,0.0546,0.4921
Layer 23,23,0.4417,0.0404,0.4348
Layer 24,24,0.4146,0.0477,0.4087
