Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.7467,0.0249,0.7479
Layer 1,1,0.8146,0.0456,0.8142
Layer 2,2,0.8311,0.0134,0.8307
Layer 3,3,0.846,0.0271,0.8461
Layer 4,4,0.8708,0.0268,0.8709
Layer 5,5,0.8791,0.0316,0.8799
Layer 6,6,0.8725,0.0399,0.8727
Layer 7,7,0.8758,0.0299,0.876
Layer 8,8,0.8907,0.0215,0.8906
Layer 9,9,0.8923,0.0274,0.8921
Layer 10,10,0.8791,0.0224,0.8792
Layer 11,11,0.8675,0.0303,0.8672
Layer 12,12,0.8725,0.031,0.8726
Layer 13,13,0.8642,0.0217,0.8647
Layer 14,14,0.8791,0.0373,0.8793
Layer 15,15,0.8642,0.0311,0.8641
Layer 16,16,0.8658,0.0306,0.8657
Layer 17,17,0.8675,0.0275,0.8676
Layer 18,18,0.8576,0.0266,0.8578
Layer 19,19,0.8609,0.0274,0.8607
Layer 20,20,0.8427,0.0267,0.8428
Layer 21,21,0.8278,0.0211,0.8286
Layer 22,22,0.8294,0.0274,0.829
Layer 23,23,0.8195,0.0207,0.8187
Layer 24,24,0.8079,0.0404,0.8079
