Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5215,0.0507,0.5192
Layer 1,1,0.5398,0.074,0.541
Layer 2,2,0.5945,0.0751,0.5941
Layer 3,3,0.6607,0.0584,0.6585
Layer 4,4,0.7054,0.0431,0.7035
Layer 5,5,0.7219,0.0233,0.7195
Layer 6,6,0.7235,0.0289,0.7208
Layer 7,7,0.7021,0.0549,0.6984
Layer 8,8,0.7219,0.041,0.7211
Layer 9,9,0.7302,0.0448,0.7272
Layer 10,10,0.7252,0.0255,0.7225
Layer 11,11,0.7285,0.0222,0.7262
Layer 12,12,0.702,0.0282,0.6978
Layer 13,13,0.7103,0.0199,0.7073
Layer 14,14,0.6954,0.0405,0.6926
Layer 15,15,0.6804,0.0356,0.6778
Layer 16,16,0.692,0.0342,0.6897
Layer 17,17,0.654,0.0143,0.6506
Layer 18,18,0.6937,0.0279,0.6883
Layer 19,19,0.6788,0.02,0.6732
Layer 20,20,0.6772,0.0294,0.6718
Layer 21,21,0.6607,0.046,0.6563
Layer 22,22,0.6458,0.0476,0.6389
Layer 23,23,0.6359,0.0452,0.632
Layer 24,24,0.6392,0.0518,0.6344
