Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.8598,0.0283,0.858
Layer 1,1,0.9084,0.026,0.9078
Layer 2,2,0.9159,0.0213,0.9144
Layer 3,3,0.9402,0.0192,0.9393
Layer 4,4,0.9327,0.0124,0.9326
Layer 5,5,0.9477,0.0173,0.9471
Layer 6,6,0.9551,0.0137,0.9547
Layer 7,7,0.9645,0.0124,0.9643
Layer 8,8,0.9495,0.014,0.9494
Layer 9,9,0.9495,0.0173,0.949
Layer 10,10,0.9514,0.02,0.9509
Layer 11,11,0.9551,0.0161,0.9549
Layer 12,12,0.957,0.014,0.9565
Layer 13,13,0.9495,0.021,0.9489
Layer 14,14,0.9477,0.0152,0.9471
Layer 15,15,0.9421,0.0216,0.9412
Layer 16,16,0.9421,0.015,0.9417
Layer 17,17,0.9514,0.0273,0.9507
Layer 18,18,0.9477,0.0348,0.9467
Layer 19,19,0.9364,0.0309,0.9359
Layer 20,20,0.9364,0.0216,0.9361
Layer 21,21,0.9196,0.0337,0.9187
Layer 22,22,0.914,0.0254,0.9133
Layer 23,23,0.8991,0.0326,0.8981
Layer 24,24,0.9028,0.0192,0.9022
