Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.7121,0.0503,0.7098
Layer 1,1,0.7738,0.0342,0.7692
Layer 2,2,0.8,0.0381,0.7964
Layer 3,3,0.8224,0.0301,0.8192
Layer 4,4,0.8262,0.0305,0.8243
Layer 5,5,0.8523,0.0216,0.8512
Layer 6,6,0.8785,0.0251,0.8753
Layer 7,7,0.886,0.0254,0.8838
Layer 8,8,0.8636,0.0255,0.8624
Layer 9,9,0.8598,0.0374,0.8585
Layer 10,10,0.8542,0.0437,0.8522
Layer 11,11,0.8542,0.049,0.8531
Layer 12,12,0.8486,0.0254,0.8472
Layer 13,13,0.8411,0.0355,0.8398
Layer 14,14,0.8374,0.0337,0.8354
Layer 15,15,0.8112,0.0496,0.8097
Layer 16,16,0.8336,0.0506,0.831
Layer 17,17,0.8374,0.039,0.8347
Layer 18,18,0.828,0.0511,0.8252
Layer 19,19,0.8355,0.0452,0.8334
Layer 20,20,0.8393,0.0385,0.8378
Layer 21,21,0.828,0.0337,0.8256
Layer 22,22,0.8168,0.0248,0.813
Layer 23,23,0.8206,0.0273,0.818
Layer 24,24,0.8187,0.0173,0.8158
