Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6218,0.0043,0.6214
Layer 1,1,0.6412,0.0159,0.6411
Layer 2,2,0.6518,0.0135,0.6515
Layer 3,3,0.648,0.0098,0.6478
Layer 4,4,0.6447,0.0092,0.6443
Layer 5,5,0.6498,0.0074,0.6498
Layer 6,6,0.6478,0.0152,0.6474
Layer 7,7,0.6452,0.0077,0.6451
Layer 8,8,0.6425,0.0141,0.6422
Layer 9,9,0.6509,0.0106,0.6505
Layer 10,10,0.6346,0.0103,0.6346
Layer 11,11,0.6258,0.0084,0.6254
Layer 12,12,0.6277,0.0116,0.6273
Layer 13,13,0.6333,0.0087,0.6333
Layer 14,14,0.6185,0.0096,0.6184
Layer 15,15,0.6255,0.0175,0.6253
Layer 16,16,0.6244,0.0125,0.6242
Layer 17,17,0.6233,0.0071,0.6231
Layer 18,18,0.6086,0.0089,0.6083
Layer 19,19,0.609,0.0171,0.6087
Layer 20,20,0.6044,0.0077,0.6039
Layer 21,21,0.6062,0.0137,0.6058
Layer 22,22,0.5912,0.0187,0.5908
Layer 23,23,0.6,0.0065,0.5996
Layer 24,24,0.6018,0.0193,0.6015
