Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5357,0.0124,0.5351
Layer 1,1,0.5271,0.0098,0.5269
Layer 2,2,0.5225,0.0171,0.5221
Layer 3,3,0.5326,0.0153,0.5324
Layer 4,4,0.5405,0.0257,0.5399
Layer 5,5,0.5383,0.014,0.5378
Layer 6,6,0.5463,0.0066,0.546
Layer 7,7,0.5425,0.0181,0.5422
Layer 8,8,0.5386,0.0048,0.5384
Layer 9,9,0.5332,0.0174,0.5328
Layer 10,10,0.5372,0.0133,0.5365
Layer 11,11,0.5381,0.014,0.5377
Layer 12,12,0.5315,0.0144,0.5309
Layer 13,13,0.539,0.0129,0.5385
Layer 14,14,0.5346,0.0111,0.5342
Layer 15,15,0.5178,0.0087,0.5171
Layer 16,16,0.5229,0.0139,0.5227
Layer 17,17,0.5201,0.0119,0.5201
Layer 18,18,0.5189,0.0067,0.5187
Layer 19,19,0.5196,0.0126,0.5188
Layer 20,20,0.5062,0.0155,0.5056
Layer 21,21,0.5082,0.017,0.508
Layer 22,22,0.5093,0.0183,0.5092
Layer 23,23,0.5026,0.016,0.5025
Layer 24,24,0.5009,0.0148,0.5007
