Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.667,0.0288,0.666
Layer 1,1,0.7622,0.0201,0.761
Layer 2,2,0.8179,0.0305,0.8167
Layer 3,3,0.8422,0.0194,0.8421
Layer 4,4,0.8388,0.019,0.8381
Layer 5,5,0.855,0.0322,0.8549
Layer 6,6,0.8469,0.0194,0.8465
Layer 7,7,0.8701,0.0267,0.8699
Layer 8,8,0.855,0.0246,0.8552
Layer 9,9,0.8388,0.0338,0.8384
Layer 10,10,0.8365,0.0264,0.8367
Layer 11,11,0.8214,0.0247,0.8218
Layer 12,12,0.826,0.0285,0.8261
Layer 13,13,0.8353,0.0259,0.8346
Layer 14,14,0.8237,0.0266,0.8229
Layer 15,15,0.8399,0.0147,0.8392
Layer 16,16,0.8155,0.0112,0.8146
Layer 17,17,0.8005,0.0185,0.7989
Layer 18,18,0.8121,0.0107,0.812
Layer 19,19,0.7912,0.0291,0.7898
Layer 20,20,0.7993,0.0181,0.7986
Layer 21,21,0.8039,0.0206,0.8036
Layer 22,22,0.8039,0.0224,0.803
Layer 23,23,0.7877,0.0132,0.7871
Layer 24,24,0.7935,0.0089,0.7929
