Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.3829,0.0325,0.3798
Layer 1,1,0.4501,0.0158,0.4459
Layer 2,2,0.485,0.0256,0.4824
Layer 3,3,0.5337,0.0192,0.5325
Layer 4,4,0.572,0.0353,0.5696
Layer 5,5,0.5766,0.0247,0.5733
Layer 6,6,0.5824,0.0105,0.5802
Layer 7,7,0.5882,0.0245,0.5839
Layer 8,8,0.5453,0.022,0.5428
Layer 9,9,0.565,0.0326,0.5632
Layer 10,10,0.5673,0.0166,0.5643
Layer 11,11,0.5557,0.0269,0.5528
Layer 12,12,0.5557,0.0141,0.5527
Layer 13,13,0.5453,0.0445,0.5431
Layer 14,14,0.5545,0.022,0.5505
Layer 15,15,0.5139,0.0244,0.5113
Layer 16,16,0.5232,0.0225,0.521
Layer 17,17,0.5023,0.0206,0.4985
Layer 18,18,0.5151,0.0166,0.5119
Layer 19,19,0.5105,0.037,0.5088
Layer 20,20,0.5058,0.0375,0.5058
Layer 21,21,0.5175,0.0372,0.5154
Layer 22,22,0.4989,0.0374,0.4948
Layer 23,23,0.4931,0.0469,0.4891
Layer 24,24,0.4931,0.0552,0.4911
