Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.8411,0.0142,0.8418
Layer 1,1,0.8718,0.0116,0.8719
Layer 2,2,0.8955,0.0137,0.8954
Layer 3,3,0.9102,0.0197,0.9104
Layer 4,4,0.9236,0.0173,0.9239
Layer 5,5,0.9283,0.0195,0.9283
Layer 6,6,0.9288,0.018,0.9287
Layer 7,7,0.9417,0.0133,0.9416
Layer 8,8,0.9383,0.0185,0.9384
Layer 9,9,0.9417,0.0177,0.9416
Layer 10,10,0.9391,0.0161,0.939
Layer 11,11,0.9365,0.0158,0.9365
Layer 12,12,0.9357,0.0185,0.9356
Layer 13,13,0.9383,0.0119,0.9383
Layer 14,14,0.9421,0.019,0.9422
Layer 15,15,0.9408,0.0147,0.941
Layer 16,16,0.9434,0.01,0.9439
Layer 17,17,0.94,0.0133,0.9403
Layer 18,18,0.9283,0.0136,0.9283
Layer 19,19,0.9331,0.018,0.9331
Layer 20,20,0.9249,0.0153,0.9249
Layer 21,21,0.9244,0.0169,0.9245
Layer 22,22,0.9188,0.0094,0.9189
Layer 23,23,0.9123,0.0124,0.9127
Layer 24,24,0.9111,0.012,0.9113
