Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5479,0.0319,0.5477
Layer 1,1,0.5725,0.03,0.5715
Layer 2,2,0.6175,0.0349,0.616
Layer 3,3,0.6598,0.0173,0.6591
Layer 4,4,0.6865,0.0215,0.6863
Layer 5,5,0.6965,0.0257,0.6954
Layer 6,6,0.6999,0.0208,0.6997
Layer 7,7,0.7125,0.0306,0.7122
Layer 8,8,0.712,0.0256,0.7118
Layer 9,9,0.712,0.0242,0.711
Layer 10,10,0.7224,0.0201,0.7216
Layer 11,11,0.7215,0.0331,0.7203
Layer 12,12,0.7073,0.0257,0.7061
Layer 13,13,0.6839,0.0227,0.6827
Layer 14,14,0.6852,0.0269,0.6845
Layer 15,15,0.6818,0.0196,0.6809
Layer 16,16,0.6749,0.0247,0.6731
Layer 17,17,0.6684,0.0287,0.6659
Layer 18,18,0.6528,0.0276,0.651
Layer 19,19,0.6619,0.0442,0.6604
Layer 20,20,0.6632,0.0374,0.6618
Layer 21,21,0.6416,0.0344,0.6406
Layer 22,22,0.6408,0.0323,0.6401
Layer 23,23,0.6412,0.0331,0.6394
Layer 24,24,0.6287,0.0349,0.6273
