Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.3104,0.0283,0.304
Layer 1,1,0.3229,0.039,0.3225
Layer 2,2,0.3396,0.0464,0.3352
Layer 3,3,0.3438,0.0174,0.3363
Layer 4,4,0.3812,0.037,0.3736
Layer 5,5,0.4042,0.0312,0.3931
Layer 6,6,0.4146,0.0212,0.4079
Layer 7,7,0.4125,0.0313,0.4062
Layer 8,8,0.3875,0.0222,0.3821
Layer 9,9,0.4,0.0156,0.3891
Layer 10,10,0.3979,0.0332,0.3935
Layer 11,11,0.3771,0.029,0.3734
Layer 12,12,0.3542,0.0228,0.3496
Layer 13,13,0.3792,0.0234,0.3731
Layer 14,14,0.375,0.0198,0.3683
Layer 15,15,0.3854,0.0255,0.3791
Layer 16,16,0.3896,0.0299,0.3839
Layer 17,17,0.3708,0.0364,0.3628
Layer 18,18,0.3667,0.0325,0.3598
Layer 19,19,0.3438,0.0355,0.333
Layer 20,20,0.3458,0.0267,0.3372
Layer 21,21,0.3438,0.0174,0.3333
Layer 22,22,0.3292,0.0252,0.3173
Layer 23,23,0.35,0.0459,0.3415
Layer 24,24,0.3396,0.0268,0.33
