Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5564,0.0594,0.5545
Layer 1,1,0.6375,0.0474,0.6358
Layer 2,2,0.6756,0.0234,0.6749
Layer 3,3,0.7037,0.0217,0.7007
Layer 4,4,0.745,0.0148,0.7428
Layer 5,5,0.7566,0.0079,0.7545
Layer 6,6,0.7881,0.0256,0.7871
Layer 7,7,0.8046,0.0133,0.8036
Layer 8,8,0.8013,0.0207,0.8006
Layer 9,9,0.8014,0.0225,0.802
Layer 10,10,0.7947,0.0137,0.795
Layer 11,11,0.7815,0.0248,0.7821
Layer 12,12,0.7749,0.0278,0.7756
Layer 13,13,0.7749,0.0345,0.7747
Layer 14,14,0.7467,0.0265,0.747
Layer 15,15,0.7468,0.0343,0.7469
Layer 16,16,0.722,0.033,0.7214
Layer 17,17,0.7037,0.0313,0.7034
Layer 18,18,0.7169,0.0236,0.7182
Layer 19,19,0.7021,0.0371,0.7038
Layer 20,20,0.6889,0.0399,0.6898
Layer 21,21,0.6938,0.0294,0.6947
Layer 22,22,0.6971,0.0332,0.6975
Layer 23,23,0.6838,0.0268,0.6828
Layer 24,24,0.6837,0.0418,0.6828
