Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.671,0.0366,0.6658
Layer 1,1,0.7402,0.0247,0.7346
Layer 2,2,0.8112,0.0181,0.8078
Layer 3,3,0.8467,0.0262,0.8422
Layer 4,4,0.8673,0.0436,0.8646
Layer 5,5,0.8879,0.0251,0.8855
Layer 6,6,0.9103,0.021,0.909
Layer 7,7,0.9084,0.0216,0.9073
Layer 8,8,0.9215,0.0268,0.92
Layer 9,9,0.9028,0.0241,0.901
Layer 10,10,0.9047,0.0124,0.9026
Layer 11,11,0.9009,0.0337,0.899
Layer 12,12,0.8897,0.026,0.8884
Layer 13,13,0.8953,0.0191,0.8941
Layer 14,14,0.8822,0.0241,0.8812
Layer 15,15,0.8673,0.0208,0.8662
Layer 16,16,0.8598,0.0059,0.8587
Layer 17,17,0.8579,0.0181,0.8572
Layer 18,18,0.8449,0.0127,0.844
Layer 19,19,0.8411,0.0196,0.8394
Layer 20,20,0.8449,0.0192,0.8436
Layer 21,21,0.8299,0.0161,0.828
Layer 22,22,0.8243,0.0247,0.823
Layer 23,23,0.8187,0.0281,0.8176
Layer 24,24,0.8187,0.0353,0.8176
