Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5011,0.0159,0.5005
Layer 1,1,0.5273,0.0103,0.5268
Layer 2,2,0.5383,0.0092,0.538
Layer 3,3,0.5328,0.0121,0.5324
Layer 4,4,0.5319,0.0189,0.5314
Layer 5,5,0.5463,0.0219,0.5461
Layer 6,6,0.5421,0.0178,0.5416
Layer 7,7,0.5388,0.0162,0.5382
Layer 8,8,0.5388,0.0242,0.5383
Layer 9,9,0.5458,0.0212,0.5447
Layer 10,10,0.5469,0.0153,0.5467
Layer 11,11,0.5527,0.015,0.5521
Layer 12,12,0.5449,0.0126,0.5445
Layer 13,13,0.5383,0.013,0.5379
Layer 14,14,0.537,0.0229,0.5364
Layer 15,15,0.5412,0.0144,0.5411
Layer 16,16,0.535,0.0132,0.5344
Layer 17,17,0.5416,0.0092,0.5415
Layer 18,18,0.5385,0.0142,0.5382
Layer 19,19,0.5346,0.0209,0.5341
Layer 20,20,0.5341,0.0113,0.5338
Layer 21,21,0.5273,0.0095,0.5269
Layer 22,22,0.5357,0.0193,0.5356
Layer 23,23,0.5106,0.0253,0.5103
Layer 24,24,0.5071,0.0264,0.5068
