Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5975,0.0068,0.5943
Layer 1,1,0.6589,0.0313,0.657
Layer 2,2,0.7205,0.0242,0.7197
Layer 3,3,0.7704,0.0286,0.7696
Layer 4,4,0.7842,0.0135,0.7836
Layer 5,5,0.7947,0.025,0.7938
Layer 6,6,0.8098,0.0258,0.8091
Layer 7,7,0.7866,0.0223,0.7854
Layer 8,8,0.7703,0.0271,0.7695
Layer 9,9,0.7819,0.0222,0.7814
Layer 10,10,0.7703,0.0356,0.7691
Layer 11,11,0.7645,0.0309,0.7635
Layer 12,12,0.7309,0.0295,0.7306
Layer 13,13,0.7402,0.0333,0.7388
Layer 14,14,0.71,0.0239,0.7099
Layer 15,15,0.6879,0.0131,0.6857
Layer 16,16,0.6764,0.0154,0.6742
Layer 17,17,0.6857,0.0332,0.6838
Layer 18,18,0.6485,0.022,0.6478
Layer 19,19,0.6381,0.0263,0.6366
Layer 20,20,0.6219,0.0219,0.6224
Layer 21,21,0.652,0.0212,0.6539
Layer 22,22,0.6439,0.0164,0.6438
Layer 23,23,0.6103,0.0367,0.6092
Layer 24,24,0.5789,0.0358,0.5777
